SERVICE,TIME,REQ,CLEAR,START,END,A/D,FREQ,AC,SEAT,TERM,WKY,TY,REC,O/D,L/N,TROUND,T/R,LAST
NUMBER,,TIME,CODE,DATE,DATE,,,,,,,OP,TYP,,,SERV NO,DAYS,EDIT
NPT4   N,0120,0120,OK ,27MAR18,27MAR18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,28MAR18,25OCT18,A,..34...,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,06APR18,26OCT18,A,....5..,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,05MAY18,05MAY18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,3,12JAN18
NPT4   N,0120,0120,OK ,07APR18,28APR18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,12JAN18
NPT4   N,0120,0120,OK ,31MAR18,31MAR18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT9   G,3,12JAN18
NPT4   N,0120,0120,OK ,25AUG18,25AUG18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,3,12JAN18
NPT4   N,0120,0120,OK ,26MAY18,26MAY18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,3,12JAN18
NPT4   N,0120,0120,OK ,12MAY18,19MAY18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,12JAN18
NPT4   N,0120,0120,OK ,02JUN18,18AUG18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,12JAN18
NPT4   N,0120,0120,OK ,01SEP18,20OCT18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,2,12JAN18
NPT4   N,0120,0120,OK ,27OCT18,27OCT18,A,.....6.,73P,  0,FRT,1,M,SO,EMA,EMA,        ,0,12JAN18
NPT4   N,0120,0120,OK ,30MAR18,30MAR18,A,....5..,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,4,12JAN18
NPT4   N,0120,0120,OK ,10APR18,01MAY18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,15MAY18,22MAY18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,05JUN18,21AUG18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,04SEP18,23OCT18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   S,0,12JAN18
NPT4   N,0120,0120,OK ,28AUG18,28AUG18,A,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT9   G,0,12JAN18
NPT4   S,2230,2230,OK ,26MAR18,26MAR18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,        ,0,12JAN18
NPT4   S,2230,2230,OK ,27MAR18,27MAR18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,28MAR18,25OCT18,D,..34...,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,06APR18,26OCT18,D,....5..,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,03APR18,03APR18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,4,12JAN18
NPT4   S,2230,2230,OK ,08MAY18,08MAY18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,3,12JAN18
NPT4   S,2230,2230,OK ,10APR18,01MAY18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,28AUG18,28AUG18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,3,12JAN18
NPT4   S,2230,2230,OK ,29MAY18,29MAY18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,3,12JAN18
NPT4   S,2230,2230,OK ,15MAY18,22MAY18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,05JUN18,21AUG18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,04SEP18,23OCT18,D,.2.....,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,0,12JAN18
NPT4   S,2230,2230,OK ,30MAR18,30MAR18,D,....5..,73P,  0,FRT,1,M,SO,EMA,EMA,NPT9   H,0,12JAN18
NPT4   S,2230,2230,OK ,09APR18,30APR18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12JAN18
NPT4   S,2230,2230,OK ,14MAY18,21MAY18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12JAN18
NPT4   S,2230,2230,OK ,03SEP18,22OCT18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12JAN18
NPT4   S,2230,2230,OK ,04JUN18,20AUG18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,NPT4   N,2,12JAN18
NPT4   S,2230,2230,OK ,27AUG18,27AUG18,D,1......,73P,  0,FRT,1,M,SO,EMA,EMA,NPT9   H,2,12JAN18
BE 8    ,0935,0935,OK ,10JUL18,10JUL18,A,.2.....,E75, 88,1I ,1,C,SO,DUB,DUB,BE 82  P,0,31JAN18
NPT9   G,2000,2000,OK ,26MAR18,26MAR18,D,1......,73P,  0,FRT,1,M,SO,STN,STN,        ,0,12JAN18
NPT9   G,2000,2000,OK ,03APR18,03APR18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT4   N,3,12JAN18
NPT9   G,2000,2000,OK ,28MAR18,25OCT18,D,..34...,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,27MAR18,27MAR18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,28AUG18,28AUG18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT4   N,0,12JAN18
NPT9   G,2000,2000,OK ,08MAY18,08MAY18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,3,12JAN18
NPT9   G,2000,2000,OK ,10APR18,01MAY18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,29MAY18,29MAY18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,3,12JAN18
NPT9   G,2000,2000,OK ,15MAY18,22MAY18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,05JUN18,21AUG18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,04SEP18,23OCT18,D,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,06APR18,26OCT18,D,....5..,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,0,12JAN18
NPT9   G,2000,2000,OK ,09APR18,30APR18,D,1......,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,2,12JAN18
NPT9   G,2000,2000,OK ,14MAY18,21MAY18,D,1......,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,2,12JAN18
NPT9   G,2000,2000,OK ,04JUN18,20AUG18,D,1......,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,2,12JAN18
NPT9   G,2000,2000,OK ,03SEP18,22OCT18,D,1......,73P,  0,FRT,1,M,SO,STN,STN,NPT9   H,2,12JAN18
NPT9   H,0005,0005,OK ,27MAR18,27MAR18,A,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,30MAR18,30MAR18,A,....5..,73P,  0,FRT,1,M,SO,STN,STN,NPT4   S,0,12JAN18
NPT9   H,0005,0005,OK ,28MAR18,25OCT18,A,..34...,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,06APR18,26OCT18,A,....5..,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,25AUG18,25AUG18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT4   S,2,12JAN18
NPT9   H,0005,0005,OK ,05MAY18,05MAY18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,3,12JAN18
NPT9   H,0005,0005,OK ,07APR18,28APR18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,2,12JAN18
NPT9   H,0005,0005,OK ,26MAY18,26MAY18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,3,12JAN18
NPT9   H,0005,0005,OK ,12MAY18,19MAY18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,2,12JAN18
NPT9   H,0005,0005,OK ,02JUN18,18AUG18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,2,12JAN18
NPT9   H,0005,0005,OK ,01SEP18,20OCT18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,2,12JAN18
NPT9   H,0005,0005,OK ,27OCT18,27OCT18,A,.....6.,73P,  0,FRT,1,M,SO,STN,STN,        ,0,12JAN18
NPT9   H,0005,0005,OK ,10APR18,01MAY18,A,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,15MAY18,22MAY18,A,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,05JUN18,21AUG18,A,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
NPT9   H,0005,0005,OK ,04SEP18,23OCT18,A,.2.....,73P,  0,FRT,1,M,SO,STN,STN,NPT9   G,0,12JAN18
