	k	similarity_measure	top10_presence	mean_rank	median_rank
0	[50]	asymmetric_cosine	0.44643813604713445	34.562935190144614	12.0
1	[50]	asymmetric_cosine	0.44858061060524906	33.97830744509909	12.0
2	[50]	asymmetric_cosine	0.44831280128548473	33.71585431173005	13.0
3	[50]	asymmetric_cosine	0.4418853776111409	33.51017675415105	13.0
4	[50]	asymmetric_cosine	0.43974290305302627	33.33128012854847	13.0
5	[50]	asymmetric_cosine	0.4424209962506695	33.380289234065344	13.0
6	[50]	asymmetric_cosine	0.43974290305302627	33.21344402785217	13.0
