SERVICE_x,OPERATOR_x,A/D_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,FLIGHT_DATE_x,DATETIME_x,LINK_x,SERVICE_y,OPERATOR_y,A/D_y,AC_y,SEAT_y,TY_y,O/D_y,TROUND_y,FLIGHT_DATE_y,DATETIME_y,ID,LINK_y
LH962,LH,A,321,195.0,J,FRA,LH 963  ,2018-04-01 00:00:00,2018-04-01 11:00:00,D1087,LH963,LH,D,321,195.0,J,FRA,LH 962  ,2018-04-01 00:00:00,2018-04-01 11:45:00,D1087,1.0
FR7617,FR,A,73H,189.0,J,SDR,FR 7834 ,2018-04-01 00:00:00,2018-04-01 11:05:00,D2527,FR7834,FR,D,73H,189.0,J,BZR,FR 7617 ,2018-04-01 00:00:00,2018-04-01 11:55:00,D2527,1.0
EZY6906,EZY,A,320,186.0,J,GVA,EZY234  ,2018-04-01 00:00:00,2018-04-01 11:05:00,D193,EZY234,EZY,D,320,186.0,J,STN,EZY6906 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D193,1.0
EZY6942,EZY,A,320,186.0,J,KEF,EZY6977 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D2428,EZY6977,EZY,D,320,186.0,J,SXF,EZY6942 ,2018-04-01 00:00:00,2018-04-01 12:10:00,D2428,1.0
EI3672,EI,A,AT7,70.0,J,SNN,EI 3805 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D1962,EI3805,EI,D,AT7,70.0,J,ORK,EI 3672 ,2018-04-01 00:00:00,2018-04-01 12:00:00,D1962,1.0
EZY6976,EZY,A,320,186.0,J,BIO,EZY6907 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D2232,EZY6907,EZY,D,320,186.0,J,GVA,EZY6976 ,2018-04-01 00:00:00,2018-04-01 12:25:00,D2232,1.0
EZY6994,EZY,A,320,186.0,J,MAD,EZY6923 ,2018-04-01 00:00:00,2018-04-01 11:35:00,D860,EZY806,EZY,D,320,186.0,J,LGW,EZY6992 ,2018-04-01 00:00:00,2018-04-01 12:40:00,D860,1.0
BE684,BE,A,DH4,78.0,J,BHD,BE 687  ,2018-04-01 00:00:00,2018-04-01 11:35:00,D661,BE687,BE,D,DH4,78.0,J,BHD,BE 684  ,2018-04-01 00:00:00,2018-04-01 12:10:00,D661,1.0
EZY6940,EZY,A,320,186.0,J,KRK,EZY490  ,2018-04-01 00:00:00,2018-04-01 11:40:00,D2290,EZY6923,EZY,D,320,186.0,J,AMS,EZY6994 ,2018-04-01 00:00:00,2018-04-01 12:55:00,D2290,1.0
BA4508,BA,A,E90,98.0,C,CMF,BA 8703 ,2018-04-01 00:00:00,2018-04-01 11:45:00,D2568,BA8703,BA,D,E90,98.0,J,LCY,BA 4508 ,2018-04-02 00:00:00,2018-04-02 07:45:00,D2568,1.0
KL1281,KL,A,E90,100.0,J,AMS,KL 1282 ,2018-04-01 00:00:00,2018-04-01 11:45:00,D1223,KL1282,KL,D,E90,100.0,J,AMS,KL 1281 ,2018-04-01 00:00:00,2018-04-01 12:15:00,D1223,1.0
FR1065,FR,A,73H,189.0,J,TLS,FR 1078 ,2018-04-01 00:00:00,2018-04-01 11:55:00,D1174,FR1109,FR,D,73H,189.0,J,EIN,FR 6682 ,2018-04-01 00:00:00,2018-04-01 12:45:00,D1174,1.0
FR6643,FR,A,73H,189.0,J,BTS,FR 6605 ,2018-04-01 00:00:00,2018-04-01 11:55:00,D2544,FR8421,FR,D,73H,189.0,J,FUE,FR 6267 ,2018-04-01 00:00:00,2018-04-01 12:50:00,D2544,1.0
BE2104,BE,A,DH4,78.0,J,LHR,BE 766  ,2018-04-01 00:00:00,2018-04-01 12:00:00,D765,BE766,BE,D,DH4,78.0,J,SOU,BE 2104 ,2018-04-01 00:00:00,2018-04-01 12:30:00,D765,1.0
BA2936,BA,A,320,169.0,J,LGW,BA 2937 ,2018-04-01 00:00:00,2018-04-01 12:05:00,D1794,BA2937,BA,D,320,169.0,J,LGW,BA 2936 ,2018-04-01 00:00:00,2018-04-01 12:50:00,D1794,1.0
BA1442,BA,A,319,143.0,J,LHR,BA 1445 ,2018-04-01 00:00:00,2018-04-01 12:05:00,D1397,BA1445,BA,D,319,143.0,J,LHR,BA 1442 ,2018-04-01 00:00:00,2018-04-01 12:55:00,D1397,1.0
EZY6982,EZY,A,319,156.0,J,LIS,EZY6983 ,2018-04-01 00:00:00,2018-04-01 12:10:00,D1903,EZY3386,EZY,D,319,156.0,J,VCE,EZY3385 ,2018-04-01 00:00:00,2018-04-01 12:40:00,D1903,1.0
FR6682,FR,A,73H,189.0,J,CIA,FR 1109 ,2018-04-01 00:00:00,2018-04-01 12:10:00,D940,FR817,FR,D,73H,189.0,J,DUB,FR 4525 ,2018-04-01 00:00:00,2018-04-01 13:10:00,D940,1.0
EZY3385,EZY,A,319,156.0,J,VCE,EZY3386 ,2018-04-01 00:00:00,2018-04-01 12:10:00,D206,EZY238,EZY,D,319,156.0,J,STN,EZY6990 ,2018-04-01 00:00:00,2018-04-01 13:45:00,D206,1.0
LM394,LM,A,SF3,33.0,J,KOI,LM 355  ,2018-04-01 00:00:00,2018-04-01 12:10:00,D437,LM355,LM,D,SF3,33.0,J,LSI,LM 394  ,2018-04-01 00:00:00,2018-04-01 12:45:00,D437,1.0
QR29,QR,A,359,283.0,J,DOH,QR 30   ,2018-04-01 00:00:00,2018-04-01 12:15:00,D114,QR30,QR,D,359,283.0,J,DOH,QR 29   ,2018-04-01 00:00:00,2018-04-01 14:40:00,D114,1.0
EZY6992,EZY,A,320,186.0,J,NAP,EZY806  ,2018-04-01 00:00:00,2018-04-01 12:20:00,D867,EZY808,EZY,D,320,186.0,J,LGW,EZY15   ,2018-04-01 00:00:00,2018-04-01 14:35:00,D867,1.0
FR6267,FR,A,73H,189.0,J,BCN,FR 8421 ,2018-04-01 00:00:00,2018-04-01 12:25:00,D1135,FR1054,FR,D,73H,189.0,J,PRG,FR 816  ,2018-04-01 00:00:00,2018-04-01 13:25:00,D1135,1.0
LS718,LS,A,73C,148.0,J,PMI,LS 815  ,2018-04-01 00:00:00,2018-04-01 12:30:00,D828,LS787,LS,D,73C,148.0,J,BUD,LS 848  ,2018-04-01 00:00:00,2018-04-01 14:30:00,D828,1.0
FR4525,FR,A,73H,189.0,J,WMI,FR 817  ,2018-04-01 00:00:00,2018-04-01 12:35:00,D1743,FR2684,FR,D,73H,189.0,J,STN,FR 6657 ,2018-04-01 00:00:00,2018-04-01 13:40:00,D1743,1.0
FR816,FR,A,73H,189.0,J,DUB,FR 1054 ,2018-04-01 00:00:00,2018-04-01 12:45:00,D1165,FR1078,FR,D,73H,189.0,J,HAM,FR 1065 ,2018-04-01 00:00:00,2018-04-01 13:45:00,D1165,1.0
LS780,LS,A,73H,189.0,J,GVA,LS 797  ,2018-04-01 00:00:00,2018-04-01 12:45:00,D837,LS797,LS,D,73H,189.0,J,PFO,LS 780  ,2018-04-01 00:00:00,2018-04-01 14:25:00,D837,1.0
BE4503,BE,A,E95,118.0,J,CWL,BE 4504 ,2018-04-01 00:00:00,2018-04-01 12:50:00,D2006,BE4504,BE,D,E95,118.0,J,CWL,BE 4503 ,2018-04-01 00:00:00,2018-04-01 13:20:00,D2006,1.0
BE846,BE,A,DH4,78.0,J,BHX,BE 294  ,2018-04-01 00:00:00,2018-04-01 13:10:00,D1296,BE1341,BE,D,DH4,78.0,J,LCY,BE 767  ,2018-04-01 00:00:00,2018-04-01 13:55:00,D1296,1.0
LM354A,LM,A,SF3,33.0,J,LSI,LM 347  ,2018-04-01 00:00:00,2018-04-01 13:10:00,D401,LM347,LM,D,SF3,33.0,J,SYY,LM 354 A,2018-04-01 00:00:00,2018-04-01 13:45:00,D401,1.0
