SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,LINK
BE846,BE,A,DH4,78.0,J,BHX,BE 294  ,2018-04-01 00:00:00,2018-04-01 13:10:00,D1296
LM354A,LM,A,SF3,33.0,J,LSI,LM 347  ,2018-04-01 00:00:00,2018-04-01 13:10:00,D401
FR6657,FR,A,73H,189.0,J,PMI,FR 2684 ,2018-04-01 00:00:00,2018-04-01 13:15:00,D2106
BE767,BE,A,DH4,78.0,J,SOU,BE 1341 ,2018-04-01 00:00:00,2018-04-01 13:20:00,D1014
EI3254,EI,A,AT7,72.0,J,DUB,EI 3255 ,2018-04-01 00:00:00,2018-04-01 13:30:00,D1860
BA1446,BA,A,320,168.0,J,LHR,BA 1453 ,2018-04-01 00:00:00,2018-04-01 13:35:00,D1417
EZY481,EZY,A,319,156.0,J,BFS,EZY482  ,2018-04-01 00:00:00,2018-04-01 13:35:00,D580
LS858,LS,A,73C,148.0,J,AGP,LS 775  ,2018-04-01 00:00:00,2018-04-01 13:40:00,D921
BE1336,BE,A,DH4,78.0,J,LCY,BE 849  ,2018-04-01 00:00:00,2018-04-01 13:40:00,D308
KL1285,KL,A,73W,142.0,J,AMS,KL 1286 ,2018-04-01 00:00:00,2018-04-01 13:55:00,D1238
TK1345,TK,A,73H,165.0,J,IST,TK 1346 ,2018-04-01 00:00:00,2018-04-01 14:00:00,D1327
LS848,LS,A,73C,148.0,J,DBV,LS 787  ,2018-04-01 00:00:00,2018-04-01 14:05:00,D805
EZY15,EZY,A,320,186.0,J,LTN,EZY808  ,2018-04-01 00:00:00,2018-04-01 14:10:00,D61
EZY807,EZY,A,320,186.0,J,LGW,EZY16   ,2018-04-01 00:00:00,2018-04-01 14:10:00,D601
BE688,BE,A,DH4,78.0,J,BHD,BE 2107 ,2018-04-01 00:00:00,2018-04-01 14:20:00,D1644
D83502,D8,A,73H,186.0,J,CPH,D8 3503 ,2018-04-01 00:00:00,2018-04-01 14:25:00,D1912
LM305,LM,A,D38,31.0,J,NWI,LM 306  ,2018-04-01 00:00:00,2018-04-01 14:35:00,D343
EZY233,EZY,A,320,186.0,J,STN,EZY486  ,2018-04-01 00:00:00,2018-04-01 14:35:00,D538
D81641,D8,A,7M8,189.0,J,OSL,D8 1600 ,2018-04-01 00:00:00,2018-04-01 14:40:00,D1508
FR6696,FR,A,73H,189.0,J,MLA,FR 6652 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D2148
AF1486,AF,A,E90,100.0,J,CDG,AF 1487 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1491
EI3256,EI,A,AT7,72.0,J,DUB,EI 3257 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1875
EZY425,EZY,A,320,186.0,J,BRS,EZY426  ,2018-04-01 00:00:00,2018-04-01 14:55:00,D2389
BE211,BE,A,DH4,78.0,J,EXT,BE 212  ,2018-04-01 00:00:00,2018-04-01 15:00:00,D178
SN2063,SN,A,319,141.0,J,BRU,SN 2064 ,2018-04-01 00:00:00,2018-04-01 15:10:00,D1586
BE848,BE,A,DH4,78.0,J,BHX,BE 851  ,2018-04-01 00:00:00,2018-04-01 15:30:00,D1025
LM336,LM,A,SF3,33.0,J,WIC,LM 355 A,2018-04-01 00:00:00,2018-04-01 15:40:00,D448
BA1448,BA,A,319,143.0,J,LHR,BA 2931 ,2018-04-01 00:00:00,2018-04-01 15:45:00,D1443
EZY17,EZY,A,319,156.0,J,LTN,EZY18   ,2018-04-01 00:00:00,2018-04-01 15:45:00,D72
BE769,BE,A,DH4,78.0,J,SOU,BE 691  ,2018-04-01 00:00:00,2018-04-01 16:00:00,D1309
KL1289,KL,A,E90,100.0,J,AMS,KL 1290 ,2018-04-01 00:00:00,2018-04-01 16:00:00,D1257
LM356,LM,A,SF3,33.0,J,LSI,LM 351  ,2018-04-01 00:00:00,2018-04-01 16:10:00,D517
LM348A,LM,A,SF3,34.0,J,SYY,LM 399 A,2018-04-01 00:00:00,2018-04-01 16:15:00,D453
EW1712,EW,A,32A,180.0,J,MUC,EW 1713 ,2018-04-01 00:00:00,2018-04-01 16:15:00,D1557
BE656,BE,A,DH4,78.0,J,NOC,BE 1343 ,2018-04-01 00:00:00,2018-04-01 16:20:00,D1658
EZY809,EZY,A,320,186.0,J,LGW,EZY6959 ,2018-04-01 00:00:00,2018-04-01 16:25:00,D2450
EZY485,EZY,A,320,186.0,J,BFS,EZY428  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D614
FR1108,FR,A,73H,189.0,J,EIN,FR 1049 ,2018-04-01 00:00:00,2018-04-01 16:30:00,D1126
EZY6924,EZY,A,320,186.0,J,AMS,EZY488  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D545
LM398,LM,A,SF3,33.0,J,KOI,LM 357  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D412
EZY6956,EZY,A,319,156.0,J,CDG,EZY6913 ,2018-04-01 00:00:00,2018-04-01 16:35:00,D2239
EZY427,EZY,A,320,186.0,J,BRS,EZY6983 ,2018-04-01 00:00:00,2018-04-01 16:35:00,D2316
EZY237,EZY,A,319,156.0,J,STN,EZY6957 ,2018-04-01 00:00:00,2018-04-01 16:45:00,D2374
BA1452,BA,A,319,143.0,J,LHR,BA 1459 ,2018-04-01 00:00:00,2018-04-01 16:50:00,D1468
FR2685,FR,A,73H,189.0,J,STN,FR 8888 ,2018-04-01 00:00:00,2018-04-01 16:50:00,D2671
BE266,BE,A,DH4,78.0,J,EMA,BE 2109 ,2018-04-01 00:00:00,2018-04-01 17:00:00,D321
EZY6978,EZY,A,320,186.0,J,SXF,EZY6931 ,2018-04-01 00:00:00,2018-04-01 17:05:00,D884
BE295,BE,A,DH4,78.0,J,MAN,BE 296  ,2018-04-01 00:00:00,2018-04-01 17:15:00,D1048
FR7835,FR,A,73H,189.0,J,BZR,FR 7352 ,2018-04-01 00:00:00,2018-04-01 17:20:00,D2500
FR1077,FR,A,73H,189.0,J,HAM,FR 2674 ,2018-04-01 00:00:00,2018-04-01 17:20:00,D1725
BE850,BE,A,DH4,78.0,J,BHX,BE 853  ,2018-04-01 00:00:00,2018-04-01 17:25:00,D799
EZY6908,EZY,A,320,186.0,J,GVA,EZY812  ,2018-04-01 00:00:00,2018-04-01 17:25:00,D558
EZY6996,EZY,A,320,186.0,J,MAD,EZY430  ,2018-04-01 00:00:00,2018-04-01 17:30:00,D219
EZY487,EZY,A,320,186.0,J,BFS,EZY240  ,2018-04-01 00:00:00,2018-04-01 17:30:00,D2297
EW9364,EW,A,32A,180.0,J,DUS,EW 9365 ,2018-04-01 00:00:00,2018-04-01 17:30:00,D2689
BE771,BE,A,DH4,78.0,J,SOU,BE 772  ,2018-04-01 00:00:00,2018-04-01 17:40:00,D270
BE1342,BE,A,DH4,78.0,J,LCY,BE 267  ,2018-04-01 00:00:00,2018-04-01 17:45:00,D686
D88470,D8,A,73H,186.0,J,CPH,D8 8471 ,2018-04-01 00:00:00,2018-04-01 17:50:00,D2549
AY1373,AY,A,E90,100.0,J,HEL,AY 1374 ,2018-04-01 00:00:00,2018-04-01 17:55:00,D1340
WK310,WK,A,320,180.0,J,ZRH,WK 311  ,2018-04-01 00:00:00,2018-04-01 17:55:00,D371
BA1454,BA,A,319,143.0,J,LHR,BA 1463 ,2018-04-01 00:00:00,2018-04-01 17:55:00,D1817
FR1053,FR,A,73H,189.0,J,PRG,FR 8824 ,2018-04-01 00:00:00,2018-04-01 18:10:00,D2644
EZY6926,EZY,A,320,180.0,J,AMS,EZY6925 ,2018-04-01 00:00:00,2018-04-01 18:10:00,D1756
LS706,LS,A,73H,189.0,J,ACE,LS 6477 ,2018-04-01 00:00:00,2018-04-01 18:20:00,D2092
EI3258,EI,A,AT7,72.0,J,DUB,EI 3259 ,2018-04-01 00:00:00,2018-04-01 18:20:00,D1890
SK2545,SK,A,73G,141.0,J,ARN,SK 2546 ,2018-04-01 00:00:00,2018-04-01 18:25:00,D1714
VY7815,VY,A,320,180.0,J,BCN,VY 7816 ,2018-04-01 00:00:00,2018-04-01 18:25:00,D2516
FR6827,FR,A,73H,189.0,J,FAO,FR 6826 ,2018-04-01 00:00:00,2018-04-01 18:30:00,D2200
FR9303,FR,A,73H,189.0,J,GRO,FR 9304 ,2018-04-01 00:00:00,2018-04-01 18:35:00,D2684
LS728,LS,A,73H,189.0,J,TFS,LS 775  ,2018-04-01 00:00:00,2018-04-01 18:35:00,D802
BA1458,BA,A,320,168.0,J,LHR,BA 1465 ,2018-04-01 00:00:00,2018-04-01 18:45:00,D1483
BE694,BE,A,DH4,78.0,J,BHD,BE 693  ,2018-04-01 00:00:00,2018-04-01 18:45:00,D689
FR4382,FR,A,73H,189.0,J,HHN,FR 4383 ,2018-04-01 00:00:00,2018-04-01 18:45:00,D1982
EZY2685,EZY,A,320,186.0,J,MXP,EZY2686 ,2018-04-01 00:00:00,2018-04-01 18:45:00,D625
BE2108,BE,A,DH4,78.0,J,LHR,BE 2101 ,2018-04-01 00:00:00,2018-04-01 19:00:00,D1622
SK2541,SK,A,73H,181.0,J,ARN,SK 2542 ,2018-04-01 00:00:00,2018-04-01 19:15:00,D1700
TOM1797,TOM,A,73H,189.0,C,PFO,TOM1130 ,2018-04-01 00:00:00,2018-04-01 19:25:00,D1185
EZY19,EZY,A,320,186.0,J,LTN,EZY20   ,2018-04-01 00:00:00,2018-04-01 19:30:00,D79
LM358,LM,A,SF3,34.0,J,LSI,LM 353  ,2018-04-01 00:00:00,2018-04-01 19:35:00,D479
BA8714,BA,A,E90,98.0,J,LCY,BA 8713 ,2018-04-01 00:00:00,2018-04-01 19:35:00,D2610
BA2944,BA,A,319,144.0,J,LGW,BA 2945 ,2018-04-01 00:00:00,2018-04-01 19:35:00,D1790
EZY811,EZY,A,320,186.0,J,LGW,EZY814  ,2018-04-01 00:00:00,2018-04-01 19:45:00,D902
EI3808,EI,A,AT7,70.0,J,ORK,EI 3807 ,2018-04-01 00:00:00,2018-04-01 19:50:00,D1977
EZY429,EZY,A,320,186.0,J,BRS,EZY6901 ,2018-04-01 00:00:00,2018-04-01 19:50:00,D571
EZY489,EZY,A,320,186.0,J,BFS,EZY6961 ,2018-04-01 00:00:00,2018-04-01 19:50:00,D2209
FR818,FR,A,73H,189.0,J,DUB,FR 819  ,2018-04-01 00:00:00,2018-04-01 20:15:00,D947
BA8716,BA,A,E90,98.0,J,LCY,BA 8715 ,2018-04-01 00:00:00,2018-04-01 20:20:00,D2619
FR8887,FR,A,73H,189.0,J,STN,FR 6626 ,2018-04-01 00:00:00,2018-04-01 20:25:00,D2133
BE4507,BE,A,E95,118.0,J,CWL,BE 4508 ,2018-04-01 00:00:00,2018-04-01 20:30:00,D2014
BA1462,BA,A,319,143.0,J,LHR,BA 1461 ,2018-04-01 00:00:00,2018-04-01 20:30:00,D1456
KL1293,KL,A,73H,186.0,J,AMS,KL 1276 ,2018-04-01 00:00:00,2018-04-01 20:35:00,D1194
BE1344,BE,A,DH4,78.0,J,LCY,BE 841  ,2018-04-01 00:00:00,2018-04-01 20:35:00,D975
BE696,BE,A,DH4,78.0,J,BHD,BE 1333 ,2018-04-01 00:00:00,2018-04-01 20:40:00,D1287
BE297,BE,A,DH4,78.0,J,MAN,BE 2103 ,2018-04-01 00:00:00,2018-04-01 20:45:00,D1628
FR6604,FR,A,73H,189.0,J,IBZ,FR 6681 ,2018-04-01 00:00:00,2018-04-01 20:50:00,D2183
SN2065,SN,A,319,141.0,J,BRU,SN 2066 ,2018-04-01 00:00:00,2018-04-01 20:55:00,D1601
EZY431,EZY,A,320,186.0,J,BRS,EZY432  ,2018-04-01 00:00:00,2018-04-01 20:55:00,D2398
BE854,BE,A,DH4,78.0,J,BHX,BE 292  ,2018-04-01 00:00:00,2018-04-01 20:55:00,D303
BA8718,BA,A,E90,98.0,J,LCY,BA 8701 ,2018-04-01 00:00:00,2018-04-01 21:05:00,D2591
EZY6984,EZY,A,320,186.0,J,CPH,EZY802  ,2018-04-01 00:00:00,2018-04-01 21:05:00,D844
BE268,BE,A,DH4,78.0,J,EMA,BE 764  ,2018-04-01 00:00:00,2018-04-01 21:10:00,D999
EZY239,EZY,A,320,186.0,J,STN,EZY232  ,2018-04-01 00:00:00,2018-04-01 21:10:00,D181
LS788,LS,A,73C,148.0,J,BUD,LS 857  ,2018-04-01 00:00:00,2018-04-01 21:20:00,D1067
EZY6958,EZY,A,319,156.0,J,CDG,EZY426  ,2018-04-01 00:00:00,2018-04-01 21:20:00,D2453
BE2110,BE,A,DH4,78.0,J,LHR,BE 655  ,2018-04-01 00:00:00,2018-04-01 21:25:00,D175
EZY813,EZY,A,320,186.0,J,LGW,EZY6939 ,2018-04-01 00:00:00,2018-04-01 21:30:00,D2337
BE775,BE,A,DH4,78.0,J,SOU,BE 263  ,2018-04-01 00:00:00,2018-04-01 21:30:00,D750
AF1886,AF,A,32A,174.0,J,CDG,AF 1887 ,2018-04-01 00:00:00,2018-04-01 21:35:00,D1572
FR7353,FR,A,73H,189.0,J,CRL,FR 6266 ,2018-04-01 00:00:00,2018-04-01 21:35:00,D2082
EZY6932,EZY,A,320,186.0,J,HAM,EZY12   ,2018-04-01 00:00:00,2018-04-01 21:40:00,D36
FR8823,FR,A,73H,189.0,J,STN,FR 6826 ,2018-04-01 00:00:00,2018-04-01 21:45:00,D2203
FR2675,FR,A,73H,189.0,J,CPH,FR 2453 ,2018-04-01 00:00:00,2018-04-01 21:50:00,D1693
LS776,LS,A,73C,148.0,J,ALC,LS 853  ,2018-04-01 00:00:00,2018-04-01 21:55:00,D1039
EZY6914,EZY,A,319,156.0,J,MUC,EZY6955 ,2018-04-01 00:00:00,2018-04-01 22:10:00,D1906
BA1460,BA,A,763,259.0,J,LHR,BA 1435 ,2018-04-01 00:00:00,2018-04-01 22:10:00,D1348
LS816,LS,A,73C,148.0,J,FAO,LS 815  ,2018-04-01 00:00:00,2018-04-01 22:10:00,D924
BA2946,BA,A,319,144.0,J,LGW,        ,2018-04-01 00:00:00,2018-04-01 22:15:00,D1797
FR1050,FR,A,73H,189.0,J,KTW,FR 8882 ,2018-04-01 00:00:00,2018-04-01 22:40:00,D2649
FR8422,FR,A,73H,189.0,J,FUE,FR 1048 ,2018-04-01 00:00:00,2018-04-01 22:40:00,D1122
EZY6960,EZY,A,320,186.0,J,NCE,EZY482  ,2018-04-01 00:00:00,2018-04-01 22:45:00,D583
FR6653,FR,A,73H,189.0,J,AGP,FR 6656 ,2018-04-01 00:00:00,2018-04-01 22:55:00,D2170
LS21C,LS,A,73H,0.0,P,ZAZ,LS 715  ,2018-04-02 00:00:00,2018-04-02 01:35:00,D711
LS798,LS,A,73H,189.0,J,PFO,LS 735  ,2018-04-02 00:00:00,2018-04-02 01:40:00,D733
EZS6917,EZS,A,320,186.0,J,BSL,EZS6918 ,2018-04-02 00:00:00,2018-04-02 06:10:00,D2259
AA278,AA,A,75W,176.0,J,JFK,AA 279  ,2018-04-02 00:00:00,2018-04-02 06:10:00,D273
QR31,QR,A,359,283.0,J,DOH,QR 32   ,2018-04-02 00:00:00,2018-04-02 06:20:00,D123
EY27,EY,A,332,262.0,J,AUH,EY 28   ,2018-04-02 00:00:00,2018-04-02 06:20:00,D104
FR812,FR,A,73H,189.0,J,DUB,FR 813  ,2018-04-02 00:00:00,2018-04-02 06:35:00,D888
UA36,UA,A,75W,169.0,J,EWR,UA 39   ,2018-04-02 00:00:00,2018-04-02 06:45:00,D130
EI3250,EI,A,AT7,72.0,J,DUB,EI 3251 ,2018-04-02 00:00:00,2018-04-02 06:55:00,D1831
EZY801,EZY,A,320,180.0,J,LGW,EZY804  ,2018-04-02 00:00:00,2018-04-02 06:55:00,D852
AF1686,AF,A,318,131.0,J,CDG,AF 1687 ,2018-04-02 00:00:00,2018-04-02 07:00:00,D1545
SK4601,SK,A,CR9,90.0,J,OSL,SK 4602 ,2018-04-02 00:00:00,2018-04-02 07:05:00,D2039
BE4501,BE,A,E95,118.0,J,CWL,BE 4502 ,2018-04-02 00:00:00,2018-04-02 07:10:00,D1995
BA1432,BA,A,320,168.0,J,LHR,BA 1439 ,2018-04-02 00:00:00,2018-04-02 07:20:00,D1361
EI3806,EI,A,AT7,70.0,J,ORK,EI 3675 ,2018-04-02 00:00:00,2018-04-02 07:20:00,D1950
KL1277,KL,A,73H,186.0,J,AMS,KL 1278 ,2018-04-02 00:00:00,2018-04-02 07:25:00,D1211
EZY421,EZY,A,320,186.0,J,BRS,EZY422  ,2018-04-02 00:00:00,2018-04-02 07:30:00,D536
BA2936,BA,A,319,144.0,J,LGW,BA 2937 ,2018-04-02 00:00:00,2018-04-02 07:35:00,D1402
LM390,LM,A,SF3,33.0,J,KOI,LM 391  ,2018-04-02 00:00:00,2018-04-02 07:50:00,D391
AY1371,AY,A,E90,100.0,J,HEL,AY 1372 ,2018-04-02 00:00:00,2018-04-02 07:50:00,D1336
D81601,D8,A,7M8,189.0,J,SWF,D8 1640 ,2018-04-02 00:00:00,2018-04-02 07:55:00,D1523
EI3550,EI,A,AT7,72.0,J,DUB,EI 3551 ,2018-04-02 00:00:00,2018-04-02 08:00:00,D1926
LM352,LM,A,SF3,34.0,J,LSI,LM 341  ,2018-04-02 00:00:00,2018-04-02 08:05:00,D422
