SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,LINK
LM390,LM,A,SF3,33.0,J,KOI,LM 391  ,2018-04-04 00:00:00,2018-04-04 07:50:00,D424
BA2936,BA,A,319,144.0,J,LGW,BA 2937 ,2018-04-04 00:00:00,2018-04-04 07:50:00,D1824
EZY2683,EZY,A,320,180.0,J,MXP,EZY2684 ,2018-04-04 00:00:00,2018-04-04 08:00:00,D2433
EI3550,EI,A,AT7,72.0,J,DUB,EI 3551 ,2018-04-04 00:00:00,2018-04-04 08:00:00,D1928
LM352,LM,A,SF3,34.0,J,LSI,LM 341  ,2018-04-04 00:00:00,2018-04-04 08:05:00,D380
D81605,D8,A,7M8,189.0,J,PVD,D8 1640 ,2018-04-04 00:00:00,2018-04-04 08:05:00,D1529
BA1434,BA,A,763,259.0,J,LHR,BA 1441 ,2018-04-04 00:00:00,2018-04-04 08:10:00,D1375
EZY481,EZY,A,320,186.0,J,BFS,EZY6977 ,2018-04-04 00:00:00,2018-04-04 08:15:00,D2282
D85510,D8,A,73H,186.0,J,BCN,D8 5511 ,2018-04-04 00:00:00,2018-04-04 08:25:00,D2040
BE291,BE,A,DH4,78.0,J,MAN,BE 292  ,2018-04-04 00:00:00,2018-04-04 08:25:00,D304
EZY231,EZY,A,320,186.0,J,STN,EZY6921 ,2018-04-04 00:00:00,2018-04-04 08:40:00,D597
EZY803,EZY,A,320,186.0,J,LGW,EZY484  ,2018-04-04 00:00:00,2018-04-04 08:45:00,D2223
BE842,BE,A,DH4,78.0,J,BHX,BE 689  ,2018-04-04 00:00:00,2018-04-04 08:55:00,D1000
BA8704,BA,A,E90,98.0,J,LCY,BA 8715 ,2018-04-04 00:00:00,2018-04-04 09:00:00,D2615
REV71C,REV,A,CN2,0.0,F,EMA,REV71  D,2018-04-04 00:00:00,2018-04-04 09:05:00,D148
BE262,BE,A,DH4,78.0,J,EMA,BE 845  ,2018-04-04 00:00:00,2018-04-04 09:05:00,D167
BE763,BE,A,DH4,78.0,J,SOU,BE 210  ,2018-04-04 00:00:00,2018-04-04 09:10:00,D753
FR8881,FR,A,73H,189.0,J,STN,FR 8884 ,2018-04-04 00:00:00,2018-04-04 09:15:00,D2205
EZY11,EZY,A,320,186.0,J,LTN,EZY6905 ,2018-04-04 00:00:00,2018-04-04 09:15:00,D2482
WW860,WW,A,321,200.0,J,KEF,WW 861  ,2018-04-04 00:00:00,2018-04-04 09:20:00,D1081
BE1332,BE,A,DH4,78.0,J,LCY,BE 764  ,2018-04-04 00:00:00,2018-04-04 09:20:00,D251
BE2102,BE,A,DH4,78.0,J,LHR,BE 2107 ,2018-04-04 00:00:00,2018-04-04 09:25:00,D672
BA1438,BA,A,320,168.0,J,LHR,BA 1443 ,2018-04-04 00:00:00,2018-04-04 09:30:00,D1390
FR6827,FR,A,73H,189.0,J,FAO,FR 6826 ,2018-04-04 00:00:00,2018-04-04 09:40:00,D2530
LM350,LM,A,SF3,34.0,J,LSI,LM 335  ,2018-04-04 00:00:00,2018-04-04 09:50:00,D446
BE1334,BE,A,DH4,78.0,J,LCY,BE 263  ,2018-04-04 00:00:00,2018-04-04 10:00:00,D319
EI3252,EI,A,AT7,72.0,J,DUB,EI 3253 ,2018-04-04 00:00:00,2018-04-04 10:10:00,D1848
EZY6962,EZY,A,320,186.0,J,PRG,EZY234  ,2018-04-04 00:00:00,2018-04-04 10:15:00,D199
EZY233,EZY,A,320,180.0,J,STN,EZY6995 ,2018-04-04 00:00:00,2018-04-04 10:40:00,D858
EW362,EW,A,32A,180.0,J,CGN,EW 363  ,2018-04-04 00:00:00,2018-04-04 10:55:00,D470
LH962,LH,A,321,195.0,J,FRA,LH 963  ,2018-04-04 00:00:00,2018-04-04 11:00:00,D1089
LM392,LM,A,SF3,33.0,J,KOI,LM 777 P,2018-04-04 00:00:00,2018-04-04 11:15:00,D408
SK2541,SK,A,CR9,90.0,J,ARN,SK 2542 ,2018-04-04 00:00:00,2018-04-04 11:20:00,D1707
LM342,LM,A,SF3,34.0,J,SYY,LM 347  ,2018-04-04 00:00:00,2018-04-04 11:20:00,D504
EZY483,EZY,A,320,186.0,J,BFS,EZY6961 ,2018-04-04 00:00:00,2018-04-04 11:25:00,D2349
EI3672,EI,A,AT7,70.0,J,SNN,EI 3805 ,2018-04-04 00:00:00,2018-04-04 11:30:00,D1965
KL1281,KL,A,73H,186.0,J,AMS,KL 1282 ,2018-04-04 00:00:00,2018-04-04 11:40:00,D1228
EZY6940,EZY,A,320,186.0,J,KRK,EZY6945 ,2018-04-04 00:00:00,2018-04-04 11:40:00,D215
BA2216,BA,A,E90,98.0,J,LCY,BA 2217 ,2018-04-04 00:00:00,2018-04-04 11:50:00,D1683
EZY6960,EZY,A,319,156.0,J,NCE,EZY6955 ,2018-04-04 00:00:00,2018-04-04 11:50:00,D2417
FR1065,FR,A,73H,189.0,J,TLS,FR 6652 ,2018-04-04 00:00:00,2018-04-04 11:50:00,D2118
FR6267,FR,A,73H,189.0,J,BCN,FR 5579 ,2018-04-04 00:00:00,2018-04-04 11:55:00,D933
BE293,BE,A,DH4,78.0,J,MAN,BE 687  ,2018-04-04 00:00:00,2018-04-04 11:55:00,D775
FR7142,FR,A,73H,189.0,J,VGO,FR 2674 ,2018-04-04 00:00:00,2018-04-04 11:55:00,D2505
BE2104,BE,A,DH4,78.0,J,LHR,BE 851  ,2018-04-04 00:00:00,2018-04-04 12:00:00,D1007
BA1442,BA,A,319,143.0,J,LHR,BA 1445 ,2018-04-04 00:00:00,2018-04-04 12:05:00,D1782
FR6682,FR,A,73H,189.0,J,CIA,FR 6621 ,2018-04-04 00:00:00,2018-04-04 12:10:00,D1745
LM354,LM,A,SF3,33.0,J,LSI,LM 355  ,2018-04-04 00:00:00,2018-04-04 12:10:00,D458
EZY6990,EZY,A,320,186.0,J,ALC,EZY806  ,2018-04-04 00:00:00,2018-04-04 12:10:00,D2459
EZY6972,EZY,A,319,156.0,J,LYS,EZY6971 ,2018-04-04 00:00:00,2018-04-04 12:30:00,D1910
EZY6922,EZY,A,320,186.0,J,AMS,EZY238  ,2018-04-04 00:00:00,2018-04-04 12:35:00,D2354
BE846,BE,A,DH4,78.0,J,BHX,BE 768  ,2018-04-04 00:00:00,2018-04-04 12:45:00,D1307
FR816,FR,A,73H,189.0,J,DUB,FR 817  ,2018-04-04 00:00:00,2018-04-04 12:45:00,D1118
BE688,BE,A,DH4,78.0,J,BHD,BE 294  ,2018-04-04 00:00:00,2018-04-04 12:50:00,D677
FR8883,FR,A,73H,189.0,J,STN,FR 7352 ,2018-04-04 00:00:00,2018-04-04 12:50:00,D2140
EZY3385,EZY,A,319,156.0,J,VCE,EZY3386 ,2018-04-04 00:00:00,2018-04-04 12:55:00,D2383
LM336,LM,A,SF3,33.0,J,WIC,LM 397 A,2018-04-04 00:00:00,2018-04-04 13:10:00,D510
FR6657,FR,A,73H,189.0,J,PMI,FR 2684 ,2018-04-04 00:00:00,2018-04-04 13:15:00,D2055
BE211,BE,A,DH4,78.0,J,EXT,BE 849  ,2018-04-04 00:00:00,2018-04-04 13:15:00,D1651
EW1712,EW,A,32A,180.0,J,MUC,EW 1713 ,2018-04-04 00:00:00,2018-04-04 13:15:00,D1564
BE767,BE,A,DH4,78.0,J,SOU,BE 1341 ,2018-04-04 00:00:00,2018-04-04 13:20:00,D1316
EI3254,EI,A,AT7,72.0,J,DUB,EI 3255 ,2018-04-04 00:00:00,2018-04-04 13:30:00,D1863
D83502,D8,A,73H,186.0,J,CPH,D8 3503 ,2018-04-04 00:00:00,2018-04-04 13:30:00,D1917
BA1446,BA,A,320,168.0,J,LHR,BA 1453 ,2018-04-04 00:00:00,2018-04-04 13:30:00,D1424
FR6604,FR,A,73H,189.0,J,IBZ,FR 1017 ,2018-04-04 00:00:00,2018-04-04 13:30:00,D1155
EZY6978,EZY,A,320,186.0,J,SXF,EZY6949 ,2018-04-04 00:00:00,2018-04-04 13:40:00,D874
KL1285,KL,A,E90,100.0,J,AMS,KL 1286 ,2018-04-04 00:00:00,2018-04-04 13:55:00,D1243
TK1345,TK,A,73H,165.0,J,IST,TK 1346 ,2018-04-04 00:00:00,2018-04-04 14:00:00,D1329
BA1444,BA,A,320,168.0,J,LHR,BA 1447 ,2018-04-04 00:00:00,2018-04-04 14:10:00,D1412
LM305,LM,A,D38,31.0,J,NWI,LM 306  ,2018-04-04 00:00:00,2018-04-04 14:10:00,D351
EZY807,EZY,A,320,186.0,J,LGW,EZY16   ,2018-04-04 00:00:00,2018-04-04 14:10:00,D68
EZY15,EZY,A,320,186.0,J,LTN,EZY808  ,2018-04-04 00:00:00,2018-04-04 14:10:00,D605
BA8716,BA,A,E70,76.0,J,LCY,BA 8707 ,2018-04-04 00:00:00,2018-04-04 14:40:00,D2584
D81641,D8,A,7M8,189.0,J,OSL,D8 1600 ,2018-04-04 00:00:00,2018-04-04 14:40:00,D1510
AF1486,AF,A,E90,100.0,J,CDG,AF 1487 ,2018-04-04 00:00:00,2018-04-04 14:45:00,D1493
EZY6906,EZY,A,320,186.0,J,GVA,EZY486  ,2018-04-04 00:00:00,2018-04-04 14:45:00,D548
EI3256,EI,A,AT7,72.0,J,DUB,EI 3257 ,2018-04-04 00:00:00,2018-04-04 14:45:00,D1878
SN2063,SN,A,319,141.0,J,BRU,SN 2064 ,2018-04-04 00:00:00,2018-04-04 15:10:00,D1589
BE848,BE,A,DH4,78.0,J,BHX,BE 1343 ,2018-04-04 00:00:00,2018-04-04 15:30:00,D1028
BA1448,BA,A,320,168.0,J,LHR,BA 1455 ,2018-04-04 00:00:00,2018-04-04 15:45:00,D1430
EZY427,EZY,A,320,186.0,J,BRS,EZY428  ,2018-04-04 00:00:00,2018-04-04 16:00:00,D2423
KL1289,KL,A,E90,100.0,J,AMS,KL 1290 ,2018-04-04 00:00:00,2018-04-04 16:00:00,D1260
FR7835,FR,A,73H,189.0,J,BZR,FR 1068 ,2018-04-04 00:00:00,2018-04-04 16:00:00,D2680
LM398,LM,A,SF3,33.0,J,KOI,LM 351  ,2018-04-04 00:00:00,2018-04-04 16:10:00,D813
LM356,LM,A,SF3,33.0,J,LSI,LM 357  ,2018-04-04 00:00:00,2018-04-04 16:10:00,D822
BA8706,BA,A,E90,98.0,J,LCY,BA 8709 ,2018-04-04 00:00:00,2018-04-04 16:20:00,D2594
LM348,LM,A,SF3,34.0,J,SYY,LM 399  ,2018-04-04 00:00:00,2018-04-04 16:20:00,D781
EZY237,EZY,A,320,186.0,J,STN,EZY6975 ,2018-04-04 00:00:00,2018-04-04 16:20:00,D561
EZY809,EZY,A,320,186.0,J,LGW,EZY802  ,2018-04-04 00:00:00,2018-04-04 16:25:00,D230
LH964,LH,A,321,195.0,J,FRA,LH 965  ,2018-04-04 00:00:00,2018-04-04 16:25:00,D1104
EZY6956,EZY,A,319,156.0,J,CDG,EZY6957 ,2018-04-04 00:00:00,2018-04-04 16:35:00,D2248
FR2685,FR,A,73H,189.0,J,STN,FR 8888 ,2018-04-04 00:00:00,2018-04-04 16:50:00,D2514
BA1452,BA,A,319,143.0,J,LHR,BA 1459 ,2018-04-04 00:00:00,2018-04-04 16:55:00,D1803
BE692,BE,A,DH4,78.0,J,BHD,BE 2109 ,2018-04-04 00:00:00,2018-04-04 16:55:00,D1669
FR7353,FR,A,73H,189.0,J,CRL,FR 7616 ,2018-04-04 00:00:00,2018-04-04 17:05:00,D1728
BE295,BE,A,DH4,78.0,J,MAN,BE 296  ,2018-04-04 00:00:00,2018-04-04 17:15:00,D324
BE266,BE,A,DH4,78.0,J,EMA,BE 853  ,2018-04-04 00:00:00,2018-04-04 17:25:00,D1044
BE850,BE,A,DH4,78.0,J,BHX,BE 772  ,2018-04-04 00:00:00,2018-04-04 17:25:00,D791
BA8712,BA,A,E90,98.0,J,LCY,BA 8717 ,2018-04-04 00:00:00,2018-04-04 17:30:00,D2624
EZY6996,EZY,A,320,186.0,J,MAD,EZY430  ,2018-04-04 00:00:00,2018-04-04 17:30:00,D2308
EZY487,EZY,A,320,186.0,J,BFS,EZY240  ,2018-04-04 00:00:00,2018-04-04 17:30:00,D1759
BA1454,BA,A,319,143.0,J,LHR,BA 1463 ,2018-04-04 00:00:00,2018-04-04 17:45:00,D1404
BE771,BE,A,DH4,78.0,J,SOU,BE 267  ,2018-04-04 00:00:00,2018-04-04 17:55:00,D262
BA2944,BA,A,319,144.0,J,LGW,BA 2945 ,2018-04-04 00:00:00,2018-04-04 17:55:00,D1813
LM307,LM,A,D38,31.0,J,NWI,LM 308  ,2018-04-04 00:00:00,2018-04-04 18:00:00,D359
EZY6926,EZY,A,320,180.0,J,AMS,EZY6925 ,2018-04-04 00:00:00,2018-04-04 18:10:00,D81
BE4507,BE,A,E95,118.0,J,CWL,BE 4508 ,2018-04-04 00:00:00,2018-04-04 18:10:00,D2019
EI3258,EI,A,AT7,72.0,J,DUB,EI 3259 ,2018-04-04 00:00:00,2018-04-04 18:20:00,D1893
BA8708,BA,A,E90,98.0,J,LCY,BA 8719 ,2018-04-04 00:00:00,2018-04-04 18:20:00,D2633
FR5833,FR,A,73H,189.0,J,BGY,FR 5834 ,2018-04-04 00:00:00,2018-04-04 18:25:00,D2059
VY7815,VY,A,320,180.0,J,BCN,VY 7816 ,2018-04-04 00:00:00,2018-04-04 18:25:00,D2524
BE1342,BE,A,DH4,78.0,J,LCY,BE 2101 ,2018-04-04 00:00:00,2018-04-04 18:30:00,D693
BA1458,BA,A,320,168.0,J,LHR,BA 1465 ,2018-04-04 00:00:00,2018-04-04 18:45:00,D1486
EZY2685,EZY,A,320,186.0,J,MXP,EZY2686 ,2018-04-04 00:00:00,2018-04-04 18:45:00,D904
BE694,BE,A,DH4,78.0,J,BHD,BE 693  ,2018-04-04 00:00:00,2018-04-04 18:55:00,D1059
BE2108,BE,A,DH4,78.0,J,LHR,BE 855  ,2018-04-04 00:00:00,2018-04-04 19:00:00,D1615
BE852,BE,A,DH4,78.0,J,BHX,BE 1331 ,2018-04-04 00:00:00,2018-04-04 19:15:00,D1272
LM358,LM,A,SF3,34.0,J,LSI,LM 353  ,2018-04-04 00:00:00,2018-04-04 19:15:00,D421
BA8710,BA,A,E90,98.0,J,LCY,BA 8701 ,2018-04-04 00:00:00,2018-04-04 19:25:00,D2556
EZY19,EZY,A,320,186.0,J,LTN,EZY20   ,2018-04-04 00:00:00,2018-04-04 19:30:00,D2396
LS722,LS,A,73H,189.0,J,LCA,LS 815  ,2018-04-04 00:00:00,2018-04-04 19:45:00,D731
EZY811,EZY,A,320,186.0,J,LGW,EZY814  ,2018-04-04 00:00:00,2018-04-04 19:45:00,D846
BE1344,BE,A,DH4,78.0,J,LCY,BE 290  ,2018-04-04 00:00:00,2018-04-04 19:45:00,D292
FR1018,FR,A,73H,189.0,J,BUD,FR 6266 ,2018-04-04 00:00:00,2018-04-04 20:10:00,D954
BA8714,BA,A,E90,98.0,J,LCY,BA 8711 ,2018-04-04 00:00:00,2018-04-04 20:10:00,D2602
TOM1387,TOM,A,73H,189.0,C,LCA,TOM1442 ,2018-04-04 00:00:00,2018-04-04 20:20:00,D1381
FR8887,FR,A,73H,189.0,J,STN,FR 7921 ,2018-04-04 00:00:00,2018-04-04 20:25:00,D2078
BA1462,BA,A,319,143.0,J,LHR,BA 2931 ,2018-04-04 00:00:00,2018-04-04 20:30:00,D1826
KL1293,KL,A,73H,186.0,J,AMS,KL 1276 ,2018-04-04 00:00:00,2018-04-04 20:35:00,D1197
BE297,BE,A,DH4,78.0,J,MAN,BE 760  ,2018-04-04 00:00:00,2018-04-04 20:45:00,D741
FR818,FR,A,73H,189.0,J,DUB,FR 819  ,2018-04-04 00:00:00,2018-04-04 20:45:00,D2542
SN2065,SN,A,319,141.0,J,BRU,SN 2066 ,2018-04-04 00:00:00,2018-04-04 20:55:00,D1604
EZY431,EZY,A,320,186.0,J,BRS,EZY6993 ,2018-04-04 00:00:00,2018-04-04 20:55:00,D2479
BE854,BE,A,DH4,78.0,J,BHX,BE 841  ,2018-04-04 00:00:00,2018-04-04 20:55:00,D970
LM775,LM,A,SF3,0.0,M,INV,LM 776 P,2018-04-04 00:00:00,2018-04-04 21:00:00,D482
EZY6958,EZY,A,319,156.0,J,CDG,EZY6981 ,2018-04-04 00:00:00,2018-04-04 21:05:00,D2448
BE268,BE,A,DH4,78.0,J,EMA,BE 261  ,2018-04-04 00:00:00,2018-04-04 21:10:00,D652
EZY239,EZY,A,320,186.0,J,STN,EZY12   ,2018-04-04 00:00:00,2018-04-04 21:10:00,D42
BA8718,BA,A,E90,98.0,J,LCY,BA 8705 ,2018-04-04 00:00:00,2018-04-04 21:10:00,D2575
BA1460,BA,A,763,259.0,J,LHR,BA 1435 ,2018-04-04 00:00:00,2018-04-04 21:15:00,D1352
BA2946,BA,A,319,144.0,J,LGW,BA 1465 ,2018-04-04 00:00:00,2018-04-04 21:15:00,D1475
LS798,LS,A,73H,189.0,J,PFO,LS 727  ,2018-04-04 00:00:00,2018-04-04 21:20:00,D706
BE2110,BE,A,DH4,78.0,J,LHR,BE 681  ,2018-04-04 00:00:00,2018-04-04 21:25:00,D236
LM768,LM,A,SF3,0.0,M,ABZ,LM 769  ,2018-04-04 00:00:00,2018-04-04 21:25:00,D394
BE775,BE,A,DH4,78.0,J,SOU,BE 292  ,2018-04-04 00:00:00,2018-04-04 21:30:00,D983
AF1886,AF,A,32A,174.0,J,CDG,AF 1887 ,2018-04-04 00:00:00,2018-04-04 21:35:00,D1584
NPT11L,NPT,A,73Y,0.0,M,STN,NPT11  M,2018-04-04 00:00:00,2018-04-04 21:45:00,D28
FR2675,FR,A,73H,189.0,J,CPH,FR 8421 ,2018-04-04 00:00:00,2018-04-04 21:50:00,D2547
EZY6986,EZY,A,320,186.0,J,SOF,EZY6935 ,2018-04-04 00:00:00,2018-04-04 21:55:00,D2323
EZY6914,EZY,A,319,156.0,J,MUC,EZY232  ,2018-04-04 00:00:00,2018-04-04 22:10:00,D187
EZY6976,EZY,A,320,186.0,J,BIO,EZY482  ,2018-04-04 00:00:00,2018-04-04 22:10:00,D589
FR1069,FR,A,73H,189.0,J,TSF,FR 8882 ,2018-04-04 00:00:00,2018-04-04 22:35:00,D2651
FR7617,FR,A,73H,189.0,J,SDR,FR 6695 ,2018-04-04 00:00:00,2018-04-04 22:40:00,D1170
FR6622,FR,A,73H,189.0,J,TFS,FR 6656 ,2018-04-04 00:00:00,2018-04-04 22:45:00,D2190
FR5578,FR,A,73H,189.0,J,ALC,FR 4524 ,2018-04-04 00:00:00,2018-04-04 22:55:00,D2168
FR6653,FR,A,73H,189.0,J,AGP,FR 1071 ,2018-04-04 00:00:00,2018-04-04 22:55:00,D2027
EZY6946,EZY,A,320,186.0,J,PFO,EZY6905 ,2018-04-04 00:00:00,2018-04-04 23:45:00,D1767
NPT9H,NPT,A,73P,0.0,M,STN,NPT9   G,2018-04-05 00:00:00,2018-04-05 00:05:00,D11
EZY6950,EZY,A,320,186.0,J,TFS,        ,2018-04-05 00:00:00,2018-04-05 00:30:00,D2434
NPT12B,NPT,A,73Y,0.0,M,EMA,NPT10  J,2018-04-05 00:00:00,2018-04-05 00:30:00,D19
LM777,LM,A,SF3,0.0,M,BFS,        ,2018-04-05 00:00:00,2018-04-05 00:45:00,D425
NPT10K,NPT,A,73Y,0.0,M,STN,NPT12  A,2018-04-05 00:00:00,2018-04-05 01:10:00,D49
NPT4N,NPT,A,73P,0.0,M,EMA,NPT4   S,2018-04-05 00:00:00,2018-04-05 01:20:00,D1
3V25N,3V,A,73P,0.0,F,LGG,3V 26  H,2018-04-05 00:00:00,2018-04-05 04:35:00,D95
BCS2134,BCS,A,75C,0.0,H,EMA,BCS2135 ,2018-04-05 00:00:00,2018-04-05 04:40:00,D1673
SRR6566,SRR,A,76Y,0.0,F,CGN,SRR6565 ,2018-04-05 00:00:00,2018-04-05 05:15:00,D2095
FR1077,FR,A,73H,189.0,J,HAM,FR 1078 ,2018-04-05 00:00:00,2018-04-05 06:05:00,D890
AA278,AA,A,75W,176.0,J,JFK,AA 279  ,2018-04-05 00:00:00,2018-04-05 06:10:00,D284
EY27,EY,A,332,262.0,J,AUH,EY 28   ,2018-04-05 00:00:00,2018-04-05 06:20:00,D106
FR812,FR,A,73H,189.0,J,DUB,FR 813  ,2018-04-05 00:00:00,2018-04-05 06:35:00,D2687
UA36,UA,A,75W,169.0,J,EWR,UA 39   ,2018-04-05 00:00:00,2018-04-05 06:45:00,D133
EI3250,EI,A,AT7,72.0,J,DUB,EI 3251 ,2018-04-05 00:00:00,2018-04-05 06:55:00,D1834
AF1686,AF,A,319,143.0,J,CDG,AF 1687 ,2018-04-05 00:00:00,2018-04-05 07:00:00,D1551
BE680,BE,A,DH4,78.0,J,BHD,BE 843  ,2018-04-05 00:00:00,2018-04-05 07:10:00,D1631
BE4501,BE,A,E95,118.0,J,CWL,BE 4502 ,2018-04-05 00:00:00,2018-04-05 07:10:00,D1996
LM301,LM,A,D38,31.0,J,NWI,LM 302  ,2018-04-05 00:00:00,2018-04-05 07:15:00,D336
BA8700,BA,A,E90,98.0,J,LCY,BA 8703 ,2018-04-05 00:00:00,2018-04-05 07:15:00,D2564
EZS6917,EZS,A,320,186.0,J,BSL,EZS6918 ,2018-04-05 00:00:00,2018-04-05 07:15:00,D2267
BE840,BE,A,DH4,78.0,J,BHX,BE 2103 ,2018-04-05 00:00:00,2018-04-05 07:15:00,D256
EI3806,EI,A,AT7,70.0,J,ORK,EI 3675 ,2018-04-05 00:00:00,2018-04-05 07:20:00,D1953
KL1277,KL,A,73H,186.0,J,AMS,KL 1278 ,2018-04-05 00:00:00,2018-04-05 07:25:00,D1214
FR9303,FR,A,73H,189.0,J,GRO,FR 9304 ,2018-04-05 00:00:00,2018-04-05 07:30:00,D2664
AY1371,AY,A,319,138.0,J,HEL,AY 1372 ,2018-04-05 00:00:00,2018-04-05 07:50:00,D1338
LM390,LM,A,SF3,33.0,J,KOI,LM 391  ,2018-04-05 00:00:00,2018-04-05 07:50:00,D381
BA2936,BA,A,319,144.0,J,LGW,BA 2937 ,2018-04-05 00:00:00,2018-04-05 07:50:00,D1488
D81601,D8,A,7M8,189.0,J,SWF,D8 1640 ,2018-04-05 00:00:00,2018-04-05 07:55:00,D1536
EZY2685,EZY,A,320,186.0,J,MXP,EZY2686 ,2018-04-05 00:00:00,2018-04-05 08:00:00,D2284
EI3550,EI,A,AT7,72.0,J,DUB,EI 3551 ,2018-04-05 00:00:00,2018-04-05 08:00:00,D1929
D8240,D8,A,73H,186.0,J,ARN,D8 241  ,2018-04-05 00:00:00,2018-04-05 08:00:00,D232
LM352,LM,A,SF3,34.0,J,LSI,LM 341  ,2018-04-05 00:00:00,2018-04-05 08:05:00,D443
EZY481,EZY,A,320,186.0,J,BFS,EZY6977 ,2018-04-05 00:00:00,2018-04-05 08:15:00,D2347
BA1434,BA,A,320,168.0,J,LHR,BA 1441 ,2018-04-05 00:00:00,2018-04-05 08:15:00,D1377
BE291,BE,A,DH4,78.0,J,MAN,BE 263  ,2018-04-05 00:00:00,2018-04-05 08:25:00,D299
EZY11,EZY,A,320,186.0,J,LTN,EZY6921 ,2018-04-05 00:00:00,2018-04-05 08:40:00,D2227
EZY803,EZY,A,320,186.0,J,LGW,EZY6941 ,2018-04-05 00:00:00,2018-04-05 08:45:00,D2483
DL409,DL,A,75W,168.0,J,JFK,DL 209  ,2018-04-05 00:00:00,2018-04-05 08:55:00,D158
BE842,BE,A,DH4,78.0,J,BHX,BE 655  ,2018-04-05 00:00:00,2018-04-05 08:55:00,D991
BA8704,BA,A,E90,98.0,J,LCY,BA 8715 ,2018-04-05 00:00:00,2018-04-05 09:00:00,D2616
BE262,BE,A,DH4,78.0,J,EMA,BE 845  ,2018-04-05 00:00:00,2018-04-05 09:05:00,D755
REV71C,REV,A,CN2,0.0,F,EMA,REV71  D,2018-04-05 00:00:00,2018-04-05 09:05:00,D149
BE763,BE,A,DH4,78.0,J,SOU,BE 210  ,2018-04-05 00:00:00,2018-04-05 09:10:00,D168
EZY231,EZY,A,319,156.0,J,STN,EZY6955 ,2018-04-05 00:00:00,2018-04-05 09:15:00,D2359
FR8881,FR,A,73H,189.0,J,STN,FR 8884 ,2018-04-05 00:00:00,2018-04-05 09:15:00,D2507
BE1332,BE,A,DH4,78.0,J,LCY,BE 764  ,2018-04-05 00:00:00,2018-04-05 09:20:00,D641
BE2102,BE,A,DH4,78.0,J,LHR,BE 689  ,2018-04-05 00:00:00,2018-04-05 09:25:00,D667
BA1438,BA,A,320,168.0,J,LHR,BA 1443 ,2018-04-05 00:00:00,2018-04-05 09:40:00,D1392
LM350,LM,A,SF3,34.0,J,LSI,LM 335  ,2018-04-05 00:00:00,2018-04-05 09:50:00,D505
EI3252,EI,A,AT7,72.0,J,DUB,EI 3253 ,2018-04-05 00:00:00,2018-04-05 10:10:00,D1849
EZY6962,EZY,A,320,186.0,J,PRG,EZY234  ,2018-04-05 00:00:00,2018-04-05 10:15:00,D200
EW9364,EW,A,32A,180.0,J,DUS,EW 9365 ,2018-04-05 00:00:00,2018-04-05 10:40:00,D2694
EZY233,EZY,A,320,180.0,J,STN,EZY6995 ,2018-04-05 00:00:00,2018-04-05 10:40:00,D863
EW362,EW,A,32A,180.0,J,CGN,EW 363  ,2018-04-05 00:00:00,2018-04-05 10:55:00,D471
FR7922,FR,A,73H,189.0,J,GDN,FR 7352 ,2018-04-05 00:00:00,2018-04-05 10:55:00,D2069
LH962,LH,A,321,195.0,J,FRA,LH 963  ,2018-04-05 00:00:00,2018-04-05 11:00:00,D1097
LM392,LM,A,SF3,33.0,J,KOI,LM 351  ,2018-04-05 00:00:00,2018-04-05 11:15:00,D405
SK4601,SK,A,73W,141.0,J,OSL,SK 4602 ,2018-04-05 00:00:00,2018-04-05 11:15:00,D2037
LM342,LM,A,SF3,34.0,J,SYY,LM 347  ,2018-04-05 00:00:00,2018-04-05 11:25:00,D459
EI3672,EI,A,AT7,70.0,J,SNN,EI 3805 ,2018-04-05 00:00:00,2018-04-05 11:30:00,D1966
EZY6994,EZY,A,320,186.0,J,MAD,EZY806  ,2018-04-05 00:00:00,2018-04-05 11:35:00,D210
KL1281,KL,A,73H,186.0,J,AMS,KL 1282 ,2018-04-05 00:00:00,2018-04-05 11:40:00,D1229
BA2216,BA,A,E90,98.0,J,LCY,BA 2217 ,2018-04-05 00:00:00,2018-04-05 11:50:00,D1684
EZY6936,EZY,A,320,186.0,J,VIE,EZY6961 ,2018-04-05 00:00:00,2018-04-05 11:50:00,D869
FR6267,FR,A,73H,189.0,J,BCN,FR 6242 ,2018-04-05 00:00:00,2018-04-05 11:55:00,D2157
BE293,BE,A,DH4,78.0,J,MAN,BE 687  ,2018-04-05 00:00:00,2018-04-05 11:55:00,D1292
BE2104,BE,A,DH4,78.0,J,LHR,BE 2107 ,2018-04-05 00:00:00,2018-04-05 12:00:00,D312
BA1442,BA,A,319,143.0,J,LHR,BA 2941 ,2018-04-05 00:00:00,2018-04-05 12:05:00,D1779
LM354,LM,A,SF3,33.0,J,LSI,LM 355  ,2018-04-05 00:00:00,2018-04-05 12:10:00,D511
EZY6982,EZY,A,319,156.0,J,LIS,EZY422  ,2018-04-05 00:00:00,2018-04-05 12:10:00,D530
FR6241,FR,A,73H,189.0,J,NRN,FR 6654 ,2018-04-05 00:00:00,2018-04-05 12:10:00,D1163
EZY421,EZY,A,319,156.0,J,BRS,EZY6931 ,2018-04-05 00:00:00,2018-04-05 12:15:00,D2319
QR29,QR,A,359,283.0,J,DOH,QR 30   ,2018-04-05 00:00:00,2018-04-05 12:15:00,D115
