SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
BA2937,BA,D,319,144.0,J,LGW,BA 2936 ,2018-04-04 00:00:00,2018-04-04 08:35:00,D1801,1
LM341,LM,D,SF3,34.0,J,SYY,LM 352  ,2018-04-04 00:00:00,2018-04-04 08:40:00,D393,1
LM353,LM,D,SF3,33.0,J,LSI,LM 358  ,2018-04-04 00:00:00,2018-04-04 08:45:00,D424,1
EZY6977,EZY,D,320,186.0,J,SXF,EZY481  ,2018-04-04 00:00:00,2018-04-04 08:45:00,D2433,1
TOM1386,TOM,D,73H,189.0,C,LCA,TOM1257 ,2018-04-04 00:00:00,2018-04-04 08:50:00,D1343,1
BE292,BE,D,DH4,78.0,J,MAN,BE 291  ,2018-04-04 00:00:00,2018-04-04 09:00:00,D304,1
D85511,D8,D,73H,186.0,J,BCN,D8 5510 ,2018-04-04 00:00:00,2018-04-04 09:05:00,D2040,1
BA1441,BA,D,763,259.0,J,LHR,BA 1434 ,2018-04-04 00:00:00,2018-04-04 09:05:00,D1375,1
EZY6921,EZY,D,320,186.0,J,AMS,EZY231  ,2018-04-04 00:00:00,2018-04-04 09:05:00,D2282,1
AA279,AA,D,75W,176.0,J,JFK,AA 278  ,2018-04-04 00:00:00,2018-04-04 09:10:00,D277,1
EZY484,EZY,D,320,186.0,J,BFS,EZY803  ,2018-04-04 00:00:00,2018-04-04 09:15:00,D597,1
BA8715,BA,D,E90,98.0,J,LCY,BA 8704 ,2018-04-04 00:00:00,2018-04-04 09:40:00,D2615,1
BE845,BE,D,DH4,78.0,J,BHX,BE 262  ,2018-04-04 00:00:00,2018-04-04 09:40:00,D1000,1
REV71D,REV,D,CN2,0.0,F,EMA,REV71  C,2018-04-04 00:00:00,2018-04-04 09:40:00,D148,1
FR8884,FR,D,73H,189.0,J,STN,FR 8881 ,2018-04-04 00:00:00,2018-04-04 09:40:00,D2663,1
EZY6905,EZY,D,320,186.0,J,GVA,EZY11   ,2018-04-04 00:00:00,2018-04-04 09:45:00,D2223,1
BE210,BE,D,DH4,78.0,J,EXT,BE 763  ,2018-04-04 00:00:00,2018-04-04 09:50:00,D167,1
BE764,BE,D,DH4,78.0,J,SOU,BE 1332 ,2018-04-04 00:00:00,2018-04-04 09:50:00,D753,1
LS797,LS,D,73H,189.0,J,PFO,LS 710  ,2018-04-04 00:00:00,2018-04-04 09:55:00,D835,1
FR6826,FR,D,73H,189.0,J,FAO,FR 6827 ,2018-04-04 00:00:00,2018-04-04 10:05:00,D2205,1
D81640,D8,D,7M8,189.0,J,OSL,D8 1605 ,2018-04-04 00:00:00,2018-04-04 10:25:00,D1529,1
LM335,LM,D,SF3,34.0,J,WIC,LM 350  ,2018-04-04 00:00:00,2018-04-04 10:30:00,D380,1
EI3253,EI,D,AT7,72.0,J,DUB,EI 3252 ,2018-04-04 00:00:00,2018-04-04 10:35:00,D1848,1
FR7834,FR,D,73H,189.0,J,BZR,FR 6653 ,2018-04-04 00:00:00,2018-04-04 10:35:00,D2530,1
BA1443,BA,D,320,168.0,J,LHR,BA 1438 ,2018-04-04 00:00:00,2018-04-04 10:55:00,D1390,1
WW861,WW,D,321,200.0,J,KEF,WW 860  ,2018-04-04 00:00:00,2018-04-04 11:00:00,D1081,1
EZY6995,EZY,D,320,186.0,J,MAD,EZY233  ,2018-04-04 00:00:00,2018-04-04 11:00:00,D2482,1
BE263,BE,D,DH4,78.0,J,EMA,BE 1334 ,2018-04-04 00:00:00,2018-04-04 11:00:00,D251,1
EZY234,EZY,D,320,180.0,J,STN,EZY6962 ,2018-04-04 00:00:00,2018-04-04 11:10:00,D199,1
EW363,EW,D,32A,180.0,J,CGN,EW 362  ,2018-04-04 00:00:00,2018-04-04 11:30:00,D470,1
LH963,LH,D,321,195.0,J,FRA,LH 962  ,2018-04-04 00:00:00,2018-04-04 11:45:00,D1089,1
SK2542,SK,D,CR9,90.0,J,ARN,SK 2541 ,2018-04-04 00:00:00,2018-04-04 12:00:00,D1707,1
EI3805,EI,D,AT7,70.0,J,ORK,EI 3672 ,2018-04-04 00:00:00,2018-04-04 12:00:00,D1965,1
EZY6955,EZY,D,319,156.0,J,CDG,EZY6960 ,2018-04-04 00:00:00,2018-04-04 12:25:00,D2366,1
KL1282,KL,D,73H,186.0,J,AMS,KL 1281 ,2018-04-04 00:00:00,2018-04-04 12:25:00,D1228,1
BE687,BE,D,DH4,78.0,J,BHD,BE 293  ,2018-04-04 00:00:00,2018-04-04 12:25:00,D672,1
BA2217,BA,D,E90,98.0,J,LCY,BA 2216 ,2018-04-04 00:00:00,2018-04-04 12:30:00,D1683,1
FR6621,FR,D,73H,189.0,J,TFS,FR 6682 ,2018-04-04 00:00:00,2018-04-04 12:40:00,D2118,1
EZY806,EZY,D,320,186.0,J,LGW,EZY6990 ,2018-04-04 00:00:00,2018-04-04 12:40:00,D858,1
LM355,LM,D,SF3,33.0,J,LSI,LM 354  ,2018-04-04 00:00:00,2018-04-04 12:45:00,D446,1
EZY6945,EZY,D,320,186.0,J,PFO,EZY6940 ,2018-04-04 00:00:00,2018-04-04 12:50:00,D2349,1
BA1445,BA,D,319,143.0,J,LHR,BA 1442 ,2018-04-04 00:00:00,2018-04-04 12:55:00,D1400,1
FR817,FR,D,73H,189.0,J,DUB,FR 816  ,2018-04-04 00:00:00,2018-04-04 13:10:00,D933,1
EZY6971,EZY,D,319,156.0,J,LYS,EZY6972 ,2018-04-04 00:00:00,2018-04-04 13:10:00,D2417,1
FR7352,FR,D,73H,189.0,J,CRL,FR 8883 ,2018-04-04 00:00:00,2018-04-04 13:15:00,D2505,1
EZY238,EZY,D,320,186.0,J,STN,EZY6922 ,2018-04-04 00:00:00,2018-04-04 13:20:00,D215,1
EZY3386,EZY,D,319,156.0,J,VCE,EZY3385 ,2018-04-04 00:00:00,2018-04-04 13:25:00,D1910,1
BE294,BE,D,DH4,78.0,J,MAN,BE 688  ,2018-04-04 00:00:00,2018-04-04 13:30:00,D319,1
FR2684,FR,D,73H,189.0,J,STN,FR 6657 ,2018-04-04 00:00:00,2018-04-04 13:40:00,D1745,1
LM347,LM,D,SF3,34.0,J,SYY,LM 342  ,2018-04-04 00:00:00,2018-04-04 13:40:00,D408,1
LM397A,LM,D,SF3,33.0,J,KOI,LM 336  ,2018-04-04 00:00:00,2018-04-04 13:45:00,D504,1
EZY6985,EZY,D,320,186.0,J,SOF,EZY6938 ,2018-04-04 00:00:00,2018-04-04 13:50:00,D2459,1
EW1713,EW,D,32A,180.0,J,MUC,EW 1712 ,2018-04-04 00:00:00,2018-04-04 13:55:00,D1564,1
FR1017,FR,D,73H,189.0,J,BUD,FR 6604 ,2018-04-04 00:00:00,2018-04-04 13:55:00,D1118,1
EI3255,EI,D,AT7,72.0,J,DUB,EI 3254 ,2018-04-04 00:00:00,2018-04-04 14:00:00,D1863,1
D83503,D8,D,73H,186.0,J,CPH,D8 3502 ,2018-04-04 00:00:00,2018-04-04 14:00:00,D1917,1
BE768,BE,D,DH4,78.0,J,SOU,BE 846  ,2018-04-04 00:00:00,2018-04-04 14:05:00,D775,1
BE849,BE,D,DH4,78.0,J,BHX,BE 211  ,2018-04-04 00:00:00,2018-04-04 14:10:00,D1007,1
EZY6949,EZY,D,320,186.0,J,TFS,EZY6978 ,2018-04-04 00:00:00,2018-04-04 14:20:00,D2354,1
BA1453,BA,D,320,168.0,J,LHR,BA 1446 ,2018-04-04 00:00:00,2018-04-04 14:20:00,D1424,1
KL1286,KL,D,E90,100.0,J,AMS,KL 1285 ,2018-04-04 00:00:00,2018-04-04 14:30:00,D1243,1
EZY808,EZY,D,320,186.0,J,LGW,EZY15   ,2018-04-04 00:00:00,2018-04-04 14:35:00,D874,1
EZY16,EZY,D,320,186.0,J,LTN,EZY807  ,2018-04-04 00:00:00,2018-04-04 14:40:00,D68,1
BE1341,BE,D,DH4,78.0,J,LCY,BE 767  ,2018-04-04 00:00:00,2018-04-04 14:40:00,D1307,1
LM306,LM,D,D38,31.0,J,NWI,LM 305  ,2018-04-04 00:00:00,2018-04-04 14:40:00,D351,1
BE689,BE,D,DH4,78.0,J,BHD,BE 842  ,2018-04-04 00:00:00,2018-04-04 14:45:00,D677,1
BE2107,BE,D,DH4,78.0,J,LHR,BE 2102 ,2018-04-04 00:00:00,2018-04-04 14:50:00,D1651,1
TK1346,TK,D,73H,165.0,J,IST,TK 1345 ,2018-04-04 00:00:00,2018-04-04 14:55:00,D1329,1
BA1447,BA,D,320,168.0,J,LHR,BA 1444 ,2018-04-04 00:00:00,2018-04-04 15:05:00,D1412,1
EI3257,EI,D,AT7,72.0,J,DUB,EI 3256 ,2018-04-04 00:00:00,2018-04-04 15:15:00,D1878,1
AF1487,AF,D,E90,100.0,J,CDG,AF 1486 ,2018-04-04 00:00:00,2018-04-04 15:25:00,D1493,1
EZY486,EZY,D,320,186.0,J,BFS,EZY6906 ,2018-04-04 00:00:00,2018-04-04 15:25:00,D605,1
BA8707,BA,D,E70,76.0,J,LCY,BA 8716 ,2018-04-04 00:00:00,2018-04-04 15:30:00,D2584,1
FR6652,FR,D,73H,189.0,J,AGP,FR 1065 ,2018-04-04 00:00:00,2018-04-04 15:40:00,D2140,1
BE1343,BE,D,DH4,78.0,J,LCY,BE 848  ,2018-04-04 00:00:00,2018-04-04 15:55:00,D1316,1
FR5579,FR,D,73H,189.0,J,ALC,FR 6267 ,2018-04-04 00:00:00,2018-04-04 15:55:00,D2055,1
SN2064,SN,D,319,141.0,J,BRU,SN 2063 ,2018-04-04 00:00:00,2018-04-04 15:55:00,D1589,1
D81600,D8,D,7M8,189.0,J,SWF,D8 1641 ,2018-04-04 00:00:00,2018-04-04 16:10:00,D1510,1
BE851,BE,D,DH4,78.0,J,BHX,BE 2104 ,2018-04-04 00:00:00,2018-04-04 16:15:00,D1028,1
KL1290,KL,D,E90,100.0,J,AMS,KL 1289 ,2018-04-04 00:00:00,2018-04-04 16:30:00,D1260,1
EZY428,EZY,D,320,186.0,J,BRS,EZY427  ,2018-04-04 00:00:00,2018-04-04 16:30:00,D548,1
BA1455,BA,D,320,168.0,J,LHR,BA 1448 ,2018-04-04 00:00:00,2018-04-04 16:30:00,D1430,1
BA8709,BA,D,E90,98.0,J,LCY,BA 8706 ,2018-04-04 00:00:00,2018-04-04 16:50:00,D2594,1
EZY6975,EZY,D,320,186.0,J,BIO,EZY237  ,2018-04-04 00:00:00,2018-04-04 16:50:00,D2423,1
FR1068,FR,D,73H,189.0,J,TSF,FR 7835 ,2018-04-04 00:00:00,2018-04-04 16:50:00,D1155,1
LM357,LM,D,SF3,33.0,J,LSI,LM 356  ,2018-04-04 00:00:00,2018-04-04 16:55:00,D458,1
LM399,LM,D,SF3,34.0,J,KOI,LM 348  ,2018-04-04 00:00:00,2018-04-04 17:00:00,D510,1
EZY6957,EZY,D,319,156.0,J,CDG,EZY6956 ,2018-04-04 00:00:00,2018-04-04 17:00:00,D2383,1
EZY6913,EZY,D,319,156.0,J,MUC,EZY6992 ,2018-04-04 00:00:00,2018-04-04 17:05:00,D2248,1
LH965,LH,D,321,195.0,J,FRA,LH 964  ,2018-04-04 00:00:00,2018-04-04 17:10:00,D1104,1
FR8888,FR,D,73H,189.0,J,STN,FR 2685 ,2018-04-04 00:00:00,2018-04-04 17:15:00,D2680,1
BE2109,BE,D,DH4,78.0,J,LHR,BE 692  ,2018-04-04 00:00:00,2018-04-04 17:20:00,D1669,1
FR7616,FR,D,73H,189.0,J,SDR,FR 7353 ,2018-04-04 00:00:00,2018-04-04 17:30:00,D2514,1
BA1459,BA,D,319,143.0,J,LHR,BA 1452 ,2018-04-04 00:00:00,2018-04-04 17:35:00,D1450,1
BE296,BE,D,DH4,78.0,J,MAN,BE 295  ,2018-04-04 00:00:00,2018-04-04 17:40:00,D324,1
FR2674,FR,D,73H,189.0,J,CPH,FR 7142 ,2018-04-04 00:00:00,2018-04-04 17:45:00,D1728,1
BE853,BE,D,DH4,78.0,J,BHX,BE 266  ,2018-04-04 00:00:00,2018-04-04 17:50:00,D1044,1
EZY430,EZY,D,320,186.0,J,BRS,EZY6996 ,2018-04-04 00:00:00,2018-04-04 18:00:00,D561,1
BE772,BE,D,DH4,78.0,J,SOU,BE 850  ,2018-04-04 00:00:00,2018-04-04 18:00:00,D791,1
BA8717,BA,D,E90,98.0,J,LCY,BA 8712 ,2018-04-04 00:00:00,2018-04-04 18:00:00,D2624,1
EZY240,EZY,D,320,186.0,J,STN,EZY487  ,2018-04-04 00:00:00,2018-04-04 18:00:00,D230,1
BE267,BE,D,DH4,78.0,J,EMA,BE 771  ,2018-04-04 00:00:00,2018-04-04 18:25:00,D262,1
BA1463,BA,D,319,143.0,J,LHR,BA 1454 ,2018-04-04 00:00:00,2018-04-04 18:25:00,D1477,1
LM308,LM,D,D38,31.0,J,NWI,LM 307  ,2018-04-04 00:00:00,2018-04-04 18:30:00,D359,1
EZY6925,EZY,D,320,180.0,J,AMS,EZY6926 ,2018-04-04 00:00:00,2018-04-04 18:40:00,D2308,1
BE4508,BE,D,E95,118.0,J,CWL,BE 4507 ,2018-04-04 00:00:00,2018-04-04 18:40:00,D2019,1
FR5834,FR,D,73H,189.0,J,BGY,FR 5833 ,2018-04-04 00:00:00,2018-04-04 18:50:00,D2059,1
EI3259,EI,D,AT7,72.0,J,DUB,EI 3258 ,2018-04-04 00:00:00,2018-04-04 18:50:00,D1893,1
BA8719,BA,D,E90,98.0,J,LCY,BA 8708 ,2018-04-04 00:00:00,2018-04-04 18:55:00,D2633,1
BA2945,BA,D,319,144.0,J,LGW,BA 2944 ,2018-04-04 00:00:00,2018-04-04 19:00:00,D1824,1
VY7816,VY,D,320,180.0,J,BCN,VY 7815 ,2018-04-04 00:00:00,2018-04-04 19:05:00,D2524,1
EZY2686,EZY,D,320,186.0,J,MXP,EZY2685 ,2018-04-04 00:00:00,2018-04-04 19:15:00,D1759,1
BE693,BE,D,DH4,78.0,J,BHD,BE 694  ,2018-04-04 00:00:00,2018-04-04 19:20:00,D693,1
SRR6565,SRR,D,76Y,0.0,F,CGN,SRR6566 ,2018-04-04 00:00:00,2018-04-04 19:25:00,D2094,1
BCS2135,BCS,D,75C,0.0,H,EMA,BCS2134 ,2018-04-04 00:00:00,2018-04-04 19:30:00,D1672,1
BA1465,BA,D,320,168.0,J,LHR,BA 1458 ,2018-04-04 00:00:00,2018-04-04 19:35:00,D1486,1
BE855,BE,D,DH4,78.0,J,BHX,BE 2108 ,2018-04-04 00:00:00,2018-04-04 19:40:00,D1059,1
3V26H,3V,D,73P,0.0,F,LGG,3V 25  N,2018-04-04 00:00:00,2018-04-04 19:45:00,D94,1
EZY20,EZY,D,320,186.0,J,LTN,EZY19   ,2018-04-04 00:00:00,2018-04-04 19:55:00,D81,1
NPT9G,NPT,D,73P,0.0,M,STN,NPT9   H,2018-04-04 00:00:00,2018-04-04 20:00:00,D10,1
EZY814,EZY,D,320,186.0,J,LGW,EZY811  ,2018-04-04 00:00:00,2018-04-04 20:15:00,D904,1
FR819,FR,D,73H,189.0,J,DUB,FR 818  ,2018-04-04 00:00:00,2018-04-04 21:10:00,D954,1
NPT10J,NPT,D,73Y,0.0,M,STN,NPT12  B,2018-04-04 00:00:00,2018-04-04 21:25:00,D18,1
LM776P,LM,D,SF3,0.0,P,EMA,LM 775  ,2018-04-04 00:00:00,2018-04-04 21:40:00,D813,1
NPT12A,NPT,D,73Y,0.0,M,EMA,NPT10  K,2018-04-04 00:00:00,2018-04-04 21:45:00,D48,1
NPT4S,NPT,D,73P,0.0,M,EMA,NPT4   N,2018-04-04 00:00:00,2018-04-04 22:30:00,D0,1
NPT11M,NPT,D,73Y,0.0,M,STN,NPT11  L,2018-04-04 00:00:00,2018-04-04 22:35:00,D28,1
LM777P,LM,D,SF3,0.0,P,INV,LM 392  ,2018-04-05 00:00:00,2018-04-05 01:45:00,D822,1
LM769,LM,D,SF3,0.0,M,INV,LM 768  ,2018-04-05 00:00:00,2018-04-05 01:55:00,D781,1
SN2066,SN,D,319,141.0,J,BRU,SN 2065 ,2018-04-05 00:00:00,2018-04-05 04:55:00,D1604,1
AF1887,AF,D,32A,174.0,J,CDG,AF 1886 ,2018-04-05 00:00:00,2018-04-05 04:55:00,D1584,1
KL1276,KL,D,73H,186.0,J,AMS,KL 1293 ,2018-04-05 00:00:00,2018-04-05 05:00:00,D1197,1
EZY6961,EZY,D,320,186.0,J,PRG,EZY483  ,2018-04-05 00:00:00,2018-04-05 05:00:00,D2396,1
EZY802,EZY,D,320,186.0,J,LGW,EZY809  ,2018-04-05 00:00:00,2018-04-05 05:05:00,D846,1
EZY6993,EZY,D,320,186.0,J,MAD,EZY431  ,2018-04-05 00:00:00,2018-04-05 05:05:00,D2479,1
EZY6981,EZY,D,319,156.0,J,LIS,EZY6958 ,2018-04-05 00:00:00,2018-04-05 05:20:00,D2448,1
BE2101,BE,D,DH4,78.0,J,LHR,BE 1342 ,2018-04-05 00:00:00,2018-04-05 05:20:00,D1615,1
EZY12,EZY,D,320,186.0,J,LTN,EZY239  ,2018-04-05 00:00:00,2018-04-05 05:25:00,D42,1
FR6266,FR,D,73H,189.0,J,BCN,FR 1018 ,2018-04-05 00:00:00,2018-04-05 05:30:00,D2078,1
BE1331,BE,D,DH4,78.0,J,LCY,BE 852  ,2018-04-05 00:00:00,2018-04-05 05:30:00,D1272,1
BA8701,BA,D,E90,98.0,J,LCY,BA 8710 ,2018-04-05 00:00:00,2018-04-05 05:30:00,D2556,1
BE290,BE,D,DH4,78.0,J,MAN,BE 1344 ,2018-04-05 00:00:00,2018-04-05 05:40:00,D292,1
EZY6935,EZY,D,320,186.0,J,VIE,EZY6986 ,2018-04-05 00:00:00,2018-04-05 05:40:00,D2323,1
BE760,BE,D,DH4,78.0,J,SOU,BE 297  ,2018-04-05 00:00:00,2018-04-05 05:40:00,D741,1
BA2931,BA,D,319,144.0,J,LGW,BA 1462 ,2018-04-05 00:00:00,2018-04-05 05:40:00,D1782,1
LS787,LS,D,73C,148.0,J,BUD,LS 788  ,2018-04-05 00:00:00,2018-04-05 05:40:00,D831,1
FR7921,FR,D,73H,189.0,J,GDN,FR 8887 ,2018-04-05 00:00:00,2018-04-05 05:45:00,D2542,1
BA1435,BA,D,763,259.0,J,LHR,BA 1460 ,2018-04-05 00:00:00,2018-04-05 05:50:00,D1352,1
FR8421,FR,D,73H,189.0,J,FUE,FR 2675 ,2018-04-05 00:00:00,2018-04-05 05:55:00,D2547,1
BE841,BE,D,DH4,78.0,J,BHX,BE 854  ,2018-04-05 00:00:00,2018-04-05 06:00:00,D970,1
FR8882,FR,D,73H,189.0,J,STN,FR 1069 ,2018-04-05 00:00:00,2018-04-05 06:00:00,D2651,1
EZY232,EZY,D,319,156.0,J,STN,EZY6914 ,2018-04-05 00:00:00,2018-04-05 06:00:00,D187,1
BA8711,BA,D,E90,98.0,J,LCY,BA 8714 ,2018-04-05 00:00:00,2018-04-05 06:05:00,D2602,1
EZY482,EZY,D,320,186.0,J,BFS,EZY6976 ,2018-04-05 00:00:00,2018-04-05 06:10:00,D589,1
BE681,BE,D,DH4,78.0,J,BHD,BE 2110 ,2018-04-05 00:00:00,2018-04-05 06:20:00,D652,1
BE261,BE,D,DH4,78.0,J,EMA,BE 268  ,2018-04-05 00:00:00,2018-04-05 06:20:00,D236,1
LM351,LM,D,SF3,33.0,J,LSI,LM 398  ,2018-04-05 00:00:00,2018-04-05 06:25:00,D421,1
FR1078,FR,D,73H,189.0,J,HAM,FR 1077 ,2018-04-05 00:00:00,2018-04-05 06:30:00,D1170,1
FR6695,FR,D,73H,189.0,J,MLA,FR 7617 ,2018-04-05 00:00:00,2018-04-05 06:30:00,D2190,1
FR6656,FR,D,73H,189.0,J,PMI,FR 6622 ,2018-04-05 00:00:00,2018-04-05 06:35:00,D2168,1
BA8705,BA,D,E90,98.0,J,LCY,BA 8718 ,2018-04-05 00:00:00,2018-04-05 06:35:00,D2575,1
FR4524,FR,D,73H,189.0,J,WMI,FR 5578 ,2018-04-05 00:00:00,2018-04-05 06:40:00,D2027,1
FR813,FR,D,73H,189.0,J,DUB,FR 812  ,2018-04-05 00:00:00,2018-04-05 07:00:00,D890,1
BA1461,BA,D,320,168.0,J,LHR,        ,2018-04-05 00:00:00,2018-04-05 07:05:00,D1460,0
EI3251,EI,D,AT7,72.0,J,DUB,EI 3250 ,2018-04-05 00:00:00,2018-04-05 07:20:00,D1834,1
LS815,LS,D,73H,189.0,J,FAO,LS 722  ,2018-04-05 00:00:00,2018-04-05 07:25:00,D926,1
LS727,LS,D,73H,189.0,J,TFS,LS 798  ,2018-04-05 00:00:00,2018-04-05 07:30:00,D731,1
EZS6918,EZS,D,320,186.0,J,BSL,EZS6917 ,2018-04-05 00:00:00,2018-04-05 07:40:00,D2267,1
BE843,BE,D,DH4,78.0,J,BHX,BE 680  ,2018-04-05 00:00:00,2018-04-05 07:40:00,D983,1
BE4502,BE,D,E95,118.0,J,CWL,BE 4501 ,2018-04-05 00:00:00,2018-04-05 07:40:00,D1996,1
LM302,LM,D,D38,31.0,J,NWI,LM 301  ,2018-04-05 00:00:00,2018-04-05 07:45:00,D336,1
BA8703,BA,D,E90,98.0,J,LCY,BA 8700 ,2018-04-05 00:00:00,2018-04-05 07:45:00,D2564,1
AF1687,AF,D,319,143.0,J,CDG,AF 1686 ,2018-04-05 00:00:00,2018-04-05 07:45:00,D1551,1
EI3675,EI,D,AT7,70.0,J,SNN,EI 3806 ,2018-04-05 00:00:00,2018-04-05 07:50:00,D1953,1
BE2103,BE,D,DH4,78.0,J,LHR,BE 840  ,2018-04-05 00:00:00,2018-04-05 07:55:00,D1631,1
FR9304,FR,D,73H,189.0,J,GRO,FR 9303 ,2018-04-05 00:00:00,2018-04-05 07:55:00,D2687,1
LS705,LS,D,73H,189.0,J,ACE,LS 716  ,2018-04-05 00:00:00,2018-04-05 08:00:00,D706,1
EY28,EY,D,332,262.0,J,AUH,EY 27   ,2018-04-05 00:00:00,2018-04-05 08:05:00,D106,1
KL1278,KL,D,73H,186.0,J,AMS,KL 1277 ,2018-04-05 00:00:00,2018-04-05 08:10:00,D1214,1
UA39,UA,D,75W,169.0,J,EWR,UA 36   ,2018-04-05 00:00:00,2018-04-05 08:15:00,D133,1
LM391,LM,D,SF3,33.0,J,KOI,LM 390  ,2018-04-05 00:00:00,2018-04-05 08:20:00,D482,1
D8241,D8,D,73H,186.0,J,ARN,D8 240  ,2018-04-05 00:00:00,2018-04-05 08:30:00,D232,1
EI3551,EI,D,AT7,72.0,J,DUB,EI 3550 ,2018-04-05 00:00:00,2018-04-05 08:30:00,D1929,1
EZY2686,EZY,D,320,186.0,J,MXP,EZY2685 ,2018-04-05 00:00:00,2018-04-05 08:30:00,D1767,1
LS717,LS,D,73C,148.0,J,PMI,LS 852  ,2018-04-05 00:00:00,2018-04-05 08:30:00,D715,1
AY1372,AY,D,319,138.0,J,HEL,AY 1371 ,2018-04-05 00:00:00,2018-04-05 08:30:00,D1338,1
BA2937,BA,D,319,144.0,J,LGW,BA 2936 ,2018-04-05 00:00:00,2018-04-05 08:35:00,D1803,1
LM341,LM,D,SF3,34.0,J,SYY,LM 352  ,2018-04-05 00:00:00,2018-04-05 08:40:00,D394,1
LM353,LM,D,SF3,33.0,J,LSI,LM 358  ,2018-04-05 00:00:00,2018-04-05 08:45:00,D425,1
BE263,BE,D,DH4,78.0,J,EMA,BE 291  ,2018-04-05 00:00:00,2018-04-05 08:45:00,D256,1
EZY6977,EZY,D,320,186.0,J,SXF,EZY481  ,2018-04-05 00:00:00,2018-04-05 08:45:00,D2434,1
BA1441,BA,D,320,168.0,J,LHR,BA 1434 ,2018-04-05 00:00:00,2018-04-05 09:00:00,D1377,1
BE292,BE,D,DH4,78.0,J,MAN,BE 775  ,2018-04-05 00:00:00,2018-04-05 09:00:00,D299,1
EZY6921,EZY,D,320,186.0,J,AMS,EZY11   ,2018-04-05 00:00:00,2018-04-05 09:05:00,D2284,1
AA279,AA,D,75W,176.0,J,JFK,AA 278  ,2018-04-05 00:00:00,2018-04-05 09:10:00,D284,1
EZY6941,EZY,D,320,186.0,J,KEF,EZY803  ,2018-04-05 00:00:00,2018-04-05 09:25:00,D2347,1
BE845,BE,D,DH4,78.0,J,BHX,BE 262  ,2018-04-05 00:00:00,2018-04-05 09:40:00,D991,1
FR8884,FR,D,73H,189.0,J,STN,FR 8881 ,2018-04-05 00:00:00,2018-04-05 09:40:00,D2664,1
REV71D,REV,D,CN2,0.0,F,EMA,REV71  C,2018-04-05 00:00:00,2018-04-05 09:40:00,D149,1
BA8715,BA,D,E90,98.0,J,LCY,BA 8704 ,2018-04-05 00:00:00,2018-04-05 09:40:00,D2616,1
EZY6905,EZY,D,320,186.0,J,GVA,EZY6946 ,2018-04-05 00:00:00,2018-04-05 09:45:00,D2227,1
BE764,BE,D,DH4,78.0,J,SOU,BE 1332 ,2018-04-05 00:00:00,2018-04-05 09:50:00,D755,1
BE210,BE,D,DH4,78.0,J,EXT,BE 763  ,2018-04-05 00:00:00,2018-04-05 09:50:00,D168,1
D81640,D8,D,7M8,189.0,J,OSL,D8 1601 ,2018-04-05 00:00:00,2018-04-05 10:25:00,D1536,1
DL209,DL,D,75W,168.0,J,JFK,DL 409  ,2018-04-05 00:00:00,2018-04-05 10:25:00,D158,1
TOM1442,TOM,D,73H,189.0,C,ACE,TOM1387 ,2018-04-05 00:00:00,2018-04-05 10:25:00,D1381,1
LM335,LM,D,SF3,34.0,J,WIC,LM 350  ,2018-04-05 00:00:00,2018-04-05 10:30:00,D381,1
EI3253,EI,D,AT7,72.0,J,DUB,EI 3252 ,2018-04-05 00:00:00,2018-04-05 10:35:00,D1849,1
BA1443,BA,D,320,168.0,J,LHR,BA 1438 ,2018-04-05 00:00:00,2018-04-05 10:40:00,D1392,1
BE655,BE,D,DH4,78.0,J,NOC,BE 842  ,2018-04-05 00:00:00,2018-04-05 10:55:00,D641,1
EZY6995,EZY,D,320,186.0,J,MAD,EZY233  ,2018-04-05 00:00:00,2018-04-05 11:00:00,D2483,1
EZY234,EZY,D,320,180.0,J,STN,EZY6962 ,2018-04-05 00:00:00,2018-04-05 11:10:00,D200,1
EW9365,EW,D,32A,180.0,J,DUS,EW 9364 ,2018-04-05 00:00:00,2018-04-05 11:20:00,D2694,1
FR7352,FR,D,73H,189.0,J,CRL,FR 7922 ,2018-04-05 00:00:00,2018-04-05 11:20:00,D2507,1
EW363,EW,D,32A,180.0,J,CGN,EW 362  ,2018-04-05 00:00:00,2018-04-05 11:30:00,D471,1
LH963,LH,D,321,195.0,J,FRA,LH 962  ,2018-04-05 00:00:00,2018-04-05 11:45:00,D1097,1
SK4602,SK,D,73W,141.0,J,OSL,SK 4601 ,2018-04-05 00:00:00,2018-04-05 11:55:00,D2037,1
EI3805,EI,D,AT7,70.0,J,ORK,EI 3672 ,2018-04-05 00:00:00,2018-04-05 12:00:00,D1966,1
BE687,BE,D,DH4,78.0,J,BHD,BE 293  ,2018-04-05 00:00:00,2018-04-05 12:25:00,D667,1
EZY6955,EZY,D,319,156.0,J,CDG,EZY231  ,2018-04-05 00:00:00,2018-04-05 12:25:00,D2359,1
KL1282,KL,D,73H,186.0,J,AMS,KL 1281 ,2018-04-05 00:00:00,2018-04-05 12:25:00,D1229,1
BA2217,BA,D,E90,98.0,J,LCY,BA 2216 ,2018-04-05 00:00:00,2018-04-05 12:30:00,D1684,1
FR6242,FR,D,73H,189.0,J,NRN,FR 6267 ,2018-04-05 00:00:00,2018-04-05 12:35:00,D2069,1
EZY806,EZY,D,320,186.0,J,LGW,EZY6994 ,2018-04-05 00:00:00,2018-04-05 12:40:00,D863,1
