SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
FR5579,FR,D,73H,189.0,J,ALC,FR 5578 ,2018-04-01 00:00:00,2018-04-01 09:50:00,D2044,1
BE764,BE,D,DH4,78.0,J,SOU,BE 2102 ,2018-04-01 00:00:00,2018-04-01 09:50:00,D759,0
BA8701,BA,D,E90,98.0,J,LCY,BA 4506 ,2018-04-01 00:00:00,2018-04-01 10:15:00,D2551,0
SK2514,SK,D,CR9,90.0,J,CPH,SK 2513 ,2018-04-01 00:00:00,2018-04-01 10:20:00,D1697,1
D81640,D8,D,7M8,189.0,J,OSL,D8 1605 ,2018-04-01 00:00:00,2018-04-01 10:25:00,D1533,1
EI3253,EI,D,AT7,72.0,J,DUB,EI 3252 ,2018-04-01 00:00:00,2018-04-01 10:35:00,D1845,1
EZY6921,EZY,D,320,180.0,J,AMS,EZY6922 ,2018-04-01 00:00:00,2018-04-01 10:45:00,D2275,1
BE263,BE,D,DH4,78.0,J,EMA,BE 852  ,2018-04-01 00:00:00,2018-04-01 10:45:00,D247,0
EW363,EW,D,32A,180.0,J,CGN,EW 362  ,2018-04-01 00:00:00,2018-04-01 10:50:00,D466,1
BA1443,BA,D,763,259.0,J,LHR,BA 1438 ,2018-04-01 00:00:00,2018-04-01 10:55:00,D1383,1
WW861,WW,D,321,200.0,J,KEF,WW 860  ,2018-04-01 00:00:00,2018-04-01 11:00:00,D1076,1
EZY6995,EZY,D,320,186.0,J,MAD,EZY6962 ,2018-04-01 00:00:00,2018-04-01 11:00:00,D2489,1
EZY234,EZY,D,320,186.0,J,STN,EZY6906 ,2018-04-01 00:00:00,2018-04-01 11:30:00,D193,1
LH963,LH,D,321,195.0,J,FRA,LH 962  ,2018-04-01 00:00:00,2018-04-01 11:45:00,D1087,1
FR7834,FR,D,73H,189.0,J,BZR,FR 7617 ,2018-04-01 00:00:00,2018-04-01 11:55:00,D2527,1
EI3805,EI,D,AT7,70.0,J,ORK,EI 3672 ,2018-04-01 00:00:00,2018-04-01 12:00:00,D1962,1
EZY6977,EZY,D,320,186.0,J,SXF,EZY6942 ,2018-04-01 00:00:00,2018-04-01 12:10:00,D2428,1
BE687,BE,D,DH4,78.0,J,BHD,BE 684  ,2018-04-01 00:00:00,2018-04-01 12:10:00,D661,1
KL1282,KL,D,E90,100.0,J,AMS,KL 1281 ,2018-04-01 00:00:00,2018-04-01 12:15:00,D1223,1
LM397,LM,D,SF3,33.0,J,KOI,LM 398  ,2018-04-01 00:00:00,2018-04-01 12:25:00,D500,0
EZY6955,EZY,D,319,156.0,J,CDG,EZY6908 ,2018-04-01 00:00:00,2018-04-01 12:25:00,D2361,0
EZY6907,EZY,D,320,186.0,J,GVA,EZY6976 ,2018-04-01 00:00:00,2018-04-01 12:25:00,D2232,1
BE766,BE,D,DH4,78.0,J,SOU,BE 2104 ,2018-04-01 00:00:00,2018-04-01 12:30:00,D765,1
EZY3386,EZY,D,319,156.0,J,VCE,EZY3385 ,2018-04-01 00:00:00,2018-04-01 12:40:00,D1903,1
EZY806,EZY,D,320,186.0,J,LGW,EZY6992 ,2018-04-01 00:00:00,2018-04-01 12:40:00,D860,1
FR1109,FR,D,73H,189.0,J,EIN,FR 6682 ,2018-04-01 00:00:00,2018-04-01 12:45:00,D1174,1
LM355,LM,D,SF3,33.0,J,LSI,LM 394  ,2018-04-01 00:00:00,2018-04-01 12:45:00,D437,1
FR8421,FR,D,73H,189.0,J,FUE,FR 6267 ,2018-04-01 00:00:00,2018-04-01 12:50:00,D2544,1
BA2937,BA,D,320,169.0,J,LGW,BA 2936 ,2018-04-01 00:00:00,2018-04-01 12:50:00,D1794,1
EZY6923,EZY,D,320,186.0,J,AMS,EZY6994 ,2018-04-01 00:00:00,2018-04-01 12:55:00,D2290,1
BA1445,BA,D,319,143.0,J,LHR,BA 1442 ,2018-04-01 00:00:00,2018-04-01 12:55:00,D1397,1
LM335A,LM,D,SF3,34.0,J,WIC,LM 358  ,2018-04-01 00:00:00,2018-04-01 13:05:00,D388,0
