SERVICE_x,OPERATOR_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,DATETIME_x,SERVICE_y,SEAT_y,TY_y,O/D_y,DATETIME_y,TURN_MINUTES
TOM1797,TOM,73H,189.0,C,PFO,TOM1130 ,2018-04-08 19:25:00,TOM1130,189.0,C,LPA,2018-04-09 00:00:00,730
EZY19,EZY,320,186.0,J,LTN,EZY20   ,2018-04-08 19:30:00,EZY814,186.0,J,LGW,2018-04-08 20:15:00,45
BA8714,BA,E90,98.0,J,LCY,BA 8701 ,2018-04-08 19:35:00,BA8701,98.0,J,LCY,2018-04-09 00:00:00,595
BA2944,BA,319,144.0,J,LGW,BA 2945 ,2018-04-08 19:35:00,BA2945,144.0,J,LGW,2018-04-09 00:00:00,1370
LM358,LM,SF3,34.0,J,LSI,LM 353  ,2018-04-08 19:35:00,LM313,33.0,J,IOM,2018-04-09 00:00:00,1035
EZY811,EZY,320,186.0,J,LGW,EZY814  ,2018-04-08 19:45:00,EZY432,186.0,J,BRS,2018-04-08 21:15:00,90
EZY489,EZY,320,186.0,J,BFS,EZY6961 ,2018-04-08 19:50:00,EZY6901,186.0,J,SVQ,2018-04-09 00:00:00,550
EZY429,EZY,320,186.0,J,BRS,EZY6901 ,2018-04-08 19:50:00,EZY6961,186.0,J,PRG,2018-04-09 00:00:00,550
EI3808,EI,AT7,70.0,J,ORK,EI 3807 ,2018-04-08 19:50:00,EI3807,70.0,J,ORK,2018-04-08 20:15:00,25
FR818,FR,73H,189.0,J,DUB,FR 819  ,2018-04-08 20:15:00,FR819,189.0,J,DUB,2018-04-08 20:40:00,25
BA8716,BA,E90,98.0,J,LCY,BA 8711 ,2018-04-08 20:20:00,BA8711,98.0,J,LCY,2018-04-09 00:00:00,585
FR8887,FR,73H,189.0,J,STN,FR 6626 ,2018-04-08 20:25:00,FR6626,189.0,J,ACE,2018-04-09 00:00:00,525
BE4507,BE,E95,118.0,J,CWL,BE 4508 ,2018-04-08 20:30:00,BE4508,118.0,J,CWL,2018-04-08 21:00:00,30
BA1462,BA,319,143.0,J,LHR,BA 1461 ,2018-04-08 20:30:00,BA1463,143.0,J,LHR,2018-04-09 00:00:00,1330
KL1293,KL,73H,186.0,J,AMS,KL 1276 ,2018-04-08 20:35:00,KL1276,186.0,J,AMS,2018-04-09 00:00:00,505
BE1344,BE,DH4,78.0,J,LCY,BE 1331 ,2018-04-08 20:35:00,BE1331,78.0,J,LCY,2018-04-09 00:00:00,530
BE696,BE,DH4,78.0,J,BHD,BE 290  ,2018-04-08 20:40:00,BE290,78.0,J,MAN,2018-04-09 00:00:00,540
BE297,BE,DH4,78.0,J,MAN,BE 760  ,2018-04-08 20:45:00,BE760,78.0,J,SOU,2018-04-09 00:00:00,535
FR6604,FR,73H,189.0,J,IBZ,FR 6681 ,2018-04-08 20:50:00,FR6681,189.0,J,CIA,2018-04-09 00:00:00,515
BE854,BE,DH4,78.0,J,BHX,BE 841  ,2018-04-08 20:55:00,BE841,78.0,J,BHX,2018-04-09 00:00:00,545
EZY431,EZY,320,186.0,J,BRS,EZY432  ,2018-04-08 20:55:00,EZY802,186.0,J,LGW,2018-04-09 00:00:00,490
SN2065,SN,319,141.0,J,BRU,SN 2066 ,2018-04-08 20:55:00,SN2066,141.0,J,BRU,2018-04-09 00:00:00,480
EZY6984,EZY,320,186.0,J,CPH,EZY802  ,2018-04-08 21:05:00,EZY232,186.0,J,STN,2018-04-09 00:00:00,485
BA8718,BA,E90,98.0,J,LCY,BA 8705 ,2018-04-08 21:05:00,BA8705,98.0,J,LCY,2018-04-09 00:00:00,570
EZY239,EZY,320,186.0,J,STN,EZY232  ,2018-04-08 21:10:00,EZY6939,186.0,J,KRK,2018-04-09 00:00:00,510
BE268,BE,DH4,78.0,J,EMA,BE 1333 ,2018-04-08 21:10:00,BE1333,78.0,J,LCY,2018-04-09 00:00:00,540
LS788,LS,73C,148.0,J,BUD,LS 857  ,2018-04-08 21:20:00,LS857,148.0,J,AGP,2018-04-09 00:00:00,495
EZY6958,EZY,319,156.0,J,CDG,EZY426  ,2018-04-08 21:20:00,EZY3386,156.0,J,VCE,2018-04-09 00:00:00,690
BE2110,BE,DH4,78.0,J,LHR,BE 261  ,2018-04-08 21:25:00,BE261,78.0,J,EMA,2018-04-09 00:00:00,535
BE775,BE,DH4,78.0,J,SOU,BE 681  ,2018-04-08 21:30:00,BE681,78.0,J,BHD,2018-04-09 00:00:00,530
EZY813,EZY,320,186.0,J,LGW,EZY6939 ,2018-04-08 21:30:00,EZY12,186.0,J,LTN,2018-04-09 00:00:00,510
AF1886,AF,32A,174.0,J,CDG,AF 1887 ,2018-04-08 21:35:00,AF1887,174.0,J,CDG,2018-04-09 00:00:00,440
FR7353,FR,73H,189.0,J,CRL,FR 6266 ,2018-04-08 21:35:00,FR6266,189.0,J,BCN,2018-04-09 00:00:00,475
EZY6932,EZY,320,186.0,J,HAM,EZY12   ,2018-04-08 21:40:00,EZY482,186.0,J,BFS,2018-04-09 00:00:00,510
FR8823,FR,73H,189.0,J,STN,FR 6826 ,2018-04-08 21:45:00,FR6826,189.0,J,FAO,2018-04-09 00:00:00,470
FR2675,FR,73H,189.0,J,CPH,FR 2453 ,2018-04-08 21:50:00,FR2453,189.0,J,BLQ,2018-04-09 00:00:00,480
LS776,LS,73C,148.0,J,ALC,LS 853  ,2018-04-08 21:55:00,LS853,148.0,J,VCE,2018-04-09 00:00:00,530
EZY6914,EZY,319,156.0,J,MUC,EZY6955 ,2018-04-08 22:10:00,EZY426,156.0,J,BRS,2018-04-09 00:00:00,665
LS816,LS,73C,148.0,J,FAO,LS 815  ,2018-04-08 22:10:00,LS815,148.0,J,FAO,2018-04-09 00:00:00,555
BA1460,BA,763,259.0,J,LHR,BA 1435 ,2018-04-08 22:10:00,BA1435,259.0,J,LHR,2018-04-09 00:00:00,460
BA2946,BA,319,144.0,J,LGW,        ,2018-04-08 22:15:00,BA2931,144.0,J,LGW,2018-04-09 00:00:00,450
FR1050,FR,73H,189.0,J,KTW,FR 8882 ,2018-04-08 22:40:00,FR8882,189.0,J,STN,2018-04-09 00:00:00,440
FR8422,FR,73H,189.0,J,FUE,FR 1048 ,2018-04-08 22:40:00,FR1048,189.0,J,FKB,2018-04-09 00:00:00,455
EZY6960,EZY,320,186.0,J,NCE,EZY482  ,2018-04-08 22:45:00,EZY804,180.0,J,LGW,2018-04-09 00:00:00,515
FR6653,FR,73H,189.0,J,AGP,FR 6656 ,2018-04-08 22:55:00,FR6656,189.0,J,PMI,2018-04-09 00:00:00,460
